CTRL1	CTRL2	CTRL3	CIP1	CIP2	CIP3	ID	TYPE	NAME	???	DESCRIPTION
12469	7020	5053	6704	6216	6934	PA0761	CDS	nadB	1.4.3.16	L-aspartate oxidase
25201	13749	10648	16929	12746	20762	PA0762	CDS	algU		RNA polymerase sigma factor AlgU
19829	11300	6692	21701	16400	18118	PA0763	CDS	mucA		sigma factor AlgU negative regulator MucA
16321	9368	4916	8480	8024	7912	PA0764	CDS	mucB		sigma factor AlgU regulator MucB
3118	1930	1076	1722	1794	1940	PA0765	CDS	mucC		positive regulator for alginate biosynthesis MucC
18532	10479	4921	7677	6825	10060	PA0766	CDS	mucD		serine protease MucD
13611	7930	5216	2382	2603	4535	PA0767	CDS	lepA		elongation factor 4
6893	3617	3121	1645	1658	2647	PA0768	CDS	lepB		signal peptidase I
3760	1768	2069	1991	2015	2362	PA0769	CDS			hypothetical protein
3333	1875	1169	1193	1100	1539	PA0770	CDS	rnc	3.1.26.3	ribonuclease III
5605	3089	2197	1950	1838	2205	PA0771	CDS	era		GTPase Era
782	416	300	264	292	435	PA0772	CDS	recO		DNA repair protein RecO
1650	1109	559	797	832	956	PA0773	CDS	pdxJ		pyridoxine 5'-phosphate synthase
1150	647	318	443	378	607	PA0774	CDS			tRNA (mo5U34)-methyltransferase
1093	654	358	283	259	516	PA0775	CDS			tRNA (cmo5U34)-methyltransferase
265	146	136	390	438	353	PA0776	CDS			hypothetical protein
658	386	157	117	126	131	PA0777	CDS			hypothetical protein
588	417	181	294	252	333	PA0778	CDS	icp		inhibitor of cysteine peptidase
6913	3380	1855	8883	8399	9627	PA0779	CDS			ATP-dependent protease
1141	680	494	567	657	688	PA0780	CDS	pruR		proline utilization regulator
766	297	130	181	230	205	PA0781	CDS			hypothetical protein
33184	17125	7253	2883	3030	3735	PA0782	CDS	putA	1.2.1.88	bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
7866	4167	2064	1017	866	1572	PA0783	CDS	putP		sodium/proline symporter PutP
1197	631	373	380	376	425	PA0784	CDS			transcriptional regulator
104	46	34	45	37	73	PA0785	CDS	azoR1		FMN-dependent NADH-azoreductase AzoR
33	21	11	25	16	33	PA0786	CDS			transporter
1629	884	588	791	748	1042	PA0787	CDS			hypothetical protein
6140	2726	2660	5674	5558	5522	PA0788	CDS			hypothetical protein
1593	481	989	1459	1536	1764	PA0788a	CDS			hypothetical protein
3551	1820	849	1017	1116	2564	PA0789	CDS			amino acid permease
261	123	92	92	114	206	PA0790	CDS			hypothetical protein
519	304	160	696	613	618	PA0791	CDS			transcriptional regulator
1683	898	463	1459	1393	1365	PA0792	CDS	prpD	4.2.1.79	2-methylcitrate dehydratase
1195	575	309	895	814	984	PA0793	CDS			hypothetical protein
5750	2671	919	3128	2855	3675	PA0794	CDS		4.2.1.3	aconitate hydratase
6485	2880	1243	4369	3480	6283	PA0795	CDS	prpC	2.3.3.5	methylcitrate synthase
5190	2381	683	1202	1118	1842	PA0796	CDS	prpB	4.1.3.30	2-methylisocitrate lyase
1544	914	478	420	545	774	PA0797	CDS			transcriptional regulator
641	291	186	346	307	460	PA0798	CDS	pmtA		phospholipid methyltransferase
3814	2106	1124	980	958	1399	PA0799	CDS			helicase
119	79	28	90	73	147	PA0800	CDS			hypothetical protein
616	391	267	589	524	770	PA0801	CDS			hypothetical protein
76	43	22	55	61	97	PA0802	CDS			hypothetical protein
510	264	157	223	227	304	PA0803	CDS			hypothetical protein
2240	1148	675	947	1058	1255	PA0804	CDS			oxidoreductase
38349	14488	31998	13252	10088	15217	PA0805	CDS			hypothetical protein
1432	833	641	883	1013	1537	PA0806	CDS			hypothetical protein
1077	591	308	757	569	1801	PA0807	CDS	ampDh3		protein AmpDh3
524	308	191	279	264	398	PA0808	CDS			hypothetical protein
658	341	226	454	375	674	PA0809	CDS			divalent metal cation transporter MntH
504	301	150	320	343	435	PA0810	CDS			haloacid dehalogenase
641	333	189	309	285	555	PA0811	CDS			major facilitator superfamily transporter
440	206	90	234	224	363	PA0812	CDS			hypothetical protein
742	428	199	591	514	693	PA0813	CDS			hypothetical protein
249	113	56	126	113	163	PA0814	CDS			hypothetical protein
2921	1576	1311	2363	1969	2226	PA0815	CDS			transcriptional regulator
1125	738	299	888	759	891	PA0816	CDS			transcriptional regulator
674	392	252	656	557	631	PA0817	CDS			ring-cleaving dioxygenase
260	149	80	272	215	213	PA0818	CDS			hypothetical protein
152.09	79.9642	64.5433	37.745	31.6634	45.5039	PA0819	CDS			hypothetical protein
46	27	16	10	11	13	PA0820	CDS			hypothetical protein
1671	946	821	1134	903	1312	PA0821	CDS			hypothetical protein
1194	519	602	495	450	677	PA0823	CDS			hypothetical protein
407	208	180	197	177	213	PA0824	CDS			hypothetical protein
310	170	177	177	169	240	PA0825	CDS			hypothetical protein
377	167	242	185	141	249	PA0826	CDS			hypothetical protein
470	231	232	160	164	247	PA0827	CDS			hypothetical protein
223	148	121	129	119	146	PA0828	CDS			transcriptional regulator
342	198	100	179	151	196	PA0829	CDS			hydrolase
2103	1126	594	523	447	538	PA0830	CDS			hypothetical protein
1986	1035	837	804	821	1443	PA0831	CDS	oruR		ornithine utilization transcriptional regulator OruR
2261	1077	1100	1045	1064	1383	PA0832	CDS			hypothetical protein
7428	4498	3047	4348	4462	4042	PA0833	CDS			hypothetical protein
2581	1401	1086	794	763	829	PA0834	CDS			acyltransferase
23098	11700	5624	6974	6887	5777	PA0835	CDS	pta	2.3.1.8	phosphate acetyltransferase
11458	5226	3020	5651	4333	3869	PA0836	CDS	ackA	2.7.2.1	acetate kinase
14807	8878	9439	7632	10069	8366	PA0837	CDS	slyD		peptidyl-prolyl cis-trans isomerase SlyD
4736	2738	2224	3148	2717	2396	PA0838	CDS			glutathione peroxidase
591	331	238	248	206	294	PA0839	CDS			transcriptional regulator
1919	1334	468	339	329	368	PA0840	CDS			oxidoreductase
336	195	108	170	161	221	PA0841	CDS			hypothetical protein
269	162	92	305	246	242	PA0842	CDS			glycosyl transferase family protein
154	62	45	114	98	153	PA0843	CDS	plcR		phospholipase C accessory protein PlcR
396	221	188	266	277	340	PA0844	CDS	plcH		hemolytic phospholipase C
1383	744	525	759	747	804	PA0845	CDS			neutral ceramidase
1701	938	713	569	588	808	PA0846	CDS			sulfate transporter CysZ
1960	999	802	982.4	908.054	1056.39	PA0847	CDS			hypothetical protein
249	154	120	250.6	183.946	362.606	PA0848	CDS			alkyl hydroperoxide reductase
2092.15	1503	717	2032.31	2075	2854.33	PA0849	CDS	trxB2		thioredoxin reductase
329	210	166	306	235	352	PA0850	CDS			hypothetical protein
959	660	243	371	401	419	PA0851	CDS			hypothetical protein
1398	862	438	1304	1067	991	PA0852	CDS	cbpD		chitin-binding protein CbpD
1634	876	438	920	786	1081	PA0853	CDS			oxidoreductase
5218	2561	973	2418	2144	2702	PA0854	CDS	fumC2	4.2.1.2	fumarate hydratase
387	216	147	171	161	263	PA0855	CDS			hypothetical protein
8192	4507	3183	1474	1506	2576	PA0856	CDS			hypothetical protein
2404	1432	792	468	530	734	PA0857	CDS	bolA		morphogene protein BolA
3996	2337	1526	1268	1207	1771	PA0858	CDS			hypothetical protein
1288	718	344	462	468	600	PA0859	CDS			hypothetical protein
2804	1626	1063	1216	1162	1333	PA0860	CDS			ABC transporter ATP-binding protein/permease
7768	4534	3419	3608	3859	3663	PA0861	CDS			hypothetical protein
2517	1807	1214	1733	1802	1542	PA0862	CDS			hypothetical protein
816	535	323	367	358	389	PA0863	CDS			oxidoreductase
270	163	96	120	119	152	PA0864	CDS			transcriptional regulator
27915	14356	11468	42962	42054	61947	PA0865	CDS	hpd		4-hydroxyphenylpyruvate dioxygenase
942.492	532.863	317.346	1247.36	1075.96	2399.1	PA0866	CDS	aroP2		aromatic amino acid transporter AroP
11857	5305	4992	11355	8973	11186	PA0867	CDS	mliC		lysozyme inhibitor
871	543	326	478	513	546	PA0868	CDS			peptidyl-tRNA hydrolase
4233	2199	1671	1833	1644	2085	PA0869	CDS	pbpG		D-alanyl-D-alanine endopeptidase
22041	12305	5497	13522	13788	13710	PA0870	CDS	phhC	2.6.1.57	aromatic amino acid aminotransferase
9059	4516	2451	8025	6921	8114	PA0871	CDS	phhB	4.2.1.96	pterin-4-alpha-carbinolamine dehydratase
30103	16645	11335	22050	21421	20058	PA0872	CDS	phhA	1.14.16.1	phenylalanine 4-monooxygenase
3578	1941	1529	1879	1707	2190	PA0873	CDS	phhR		transcriptional regulator PhhR
206	100	133	370	241	350	PA0874	CDS			hypothetical protein
601	327	194	590	508	570	PA0875	CDS			hypothetical protein
1677	1043	592	1133	1003	1036	PA0876	CDS			transcriptional regulator
1523	873	512	551	492	633	PA0877	CDS			transcriptional regulator
180	111	93	139	156	196	PA0878	CDS			hypothetical protein
299	172	97	294	266	331	PA0879	CDS			acyl-CoA dehydrogenase
39	20	6	17	28	29	PA0880	CDS			ring-cleaving dioxygenase
142	65	41	99	107	113	PA0881	CDS			hypothetical protein
420	290	126	214	212	276	PA0882	CDS			hypothetical protein
81	47	22	89	73	81	PA0883	CDS			acyl-CoA lyase subunit beta
587	348	310	618	600	780	PA0884	CDS			C4-dicarboxylate-binding protein
126.17	88	78	160	144.199	171	PA0885	CDS			C4-dicarboxylate transporter
387.586	148.641	161.559	305.822	292.781	368.671	PA0886	CDS			C4-dicarboxylate transporter
29253	18085	10810	29981	43104	45562.9	PA0887	CDS	acsA	6.2.1.1	acetyl-CoA synthetase
16727	9917	4718	4308	3679	8141	PA0888	CDS	aotJ		arginine/ornithine ABC transporter substrate-binding protein AotJ
2666	1503	652	560	500	901	PA0889	CDS	aotQ		arginine/ornithine ABC transporter permease AotQ
2169	1180	739	635	509	948	PA0890	CDS	aotM		arginine/ornithine ABC transporter permease AotM
2697	1515	988	1128	1052	1770	PA0891	CDS			hypothetical protein
2541	1529.36	995	1258	1055	1873	PA0892	CDS	aotP		arginine/ornithine ABC transporter ATP-binding protein AotP
3872	2149	1244	1508	1488	1929	PA0893	CDS	argR		transcriptional regulator ArgR
1114	590	534	704	647	692	PA0894	CDS			hypothetical protein
10166	6574	3111	4664	4015	6447	PA0895	CDS	aruC	2.6.1.11	acetylornithine aminotransferase
4160	2234	1329	2476	1950	2765	PA0896	CDS	aruF		arginine N-succinyltransferase subunit alpha
3658	1879	1055	1806	1652	2355	PA0897	CDS	aruG		arginine N-succinyltransferase subunit beta
3025	1704	715	1246	1204	1575	PA0898	CDS	aruD		N-succinylglutamate 5-semialdehyde dehydrogenase
4989	3011	1380	2285	2546	2629	PA0899	CDS	aruB	3.5.3.23	N-succinylarginine dihydrolase
1472	716	659	764	715	897	PA0900	CDS			hypothetical protein
4965	2638	1735	3365	2987	2656	PA0901	CDS	aruE		succinylglutamate desuccinylase
1375	868	451	543	583	897	PA0902	CDS			hypothetical protein
16842	9378	4174	2905	2701	5098	PA0903	CDS	alaS	6.1.1.7	alanine--tRNA ligase
8011	4437	2589	3067	2347	3572	PA0904	CDS	lysC	2.7.2.4	aspartokinase
13892	7385	4679	16735	10435	18503	PA0905	CDS	rsmA		carbon storage regulator
8500	4911	5589	3779	2915	5696	PA0905.1	tRNA			tRNA-Ser
2570	1513.5	1513	842.5	842.5	1497	PA0905.2	tRNA			tRNA-Arg
2570	1513.5	1513	842.5	842.5	1497	PA0905.3	tRNA			tRNA-Arg
1116	687	531	508	509	763	PA0906	CDS			transcriptional regulator
480	365	221	697	537	635	PA0907	CDS			hypothetical protein
160	104	47	98	81	155	PA0908	CDS			hypothetical protein
71	48	23	48	37	70	PA0909	CDS			hypothetical protein
292	206	102	194	147	346	PA0910	CDS			hypothetical protein
189	115	54	112	106	185	PA0911	CDS			hypothetical protein
88	73	23	31	38	68	PA0912	CDS			hypothetical protein
8840	5179	4277	2440	1956	3610	PA0913	CDS	mgtE		Mg transporter MgtE
432	226	139	96	108	135	PA0914	CDS			hypothetical protein
595	327	186	85	80	148	PA0915	CDS			hypothetical protein
2969	1465	845	637	569	1057	PA0916	CDS			ribosomal protein S12 methylthiotransferase RimO
3156	1934	1243	1604	1649	2045	PA0917	CDS	kup		potassium transport system protein kup
1320	632	565	872	780	889	PA0918	CDS			cytochrome b561
2770	1490	1113	1841	1573	1921	PA0919	CDS			hypothetical protein
3053	1687	1027	1083	981	1456	PA0920	CDS			hypothetical protein
530	307	306	289	302	404	PA0921	CDS			hypothetical protein
2239	935	1397	1688	1476	2517	PA0922	CDS			hypothetical protein
18.7795	14.7225	9.46681	5.92007	3.54673	11.2152	PA0922.1	tRNA			tRNA-Met
889	657	320	798	707	779	PA0923	CDS	dinB	2.7.7.7	DNA polymerase IV
3003	1743	846	548	523	646	PA0924	CDS			hypothetical protein
1176	686	391	300	258	425	PA0925	CDS			hypothetical protein
1403	777	450	465	349	476	PA0926	CDS			hypothetical protein
1704	931	596	663	600	734	PA0927	CDS	ldhA		D-lactate dehydrogenase
7626	4422	3303	3012	2842	3774	PA0928	CDS	gacS		sensor/response regulator hybrid protein
181	99	91	231	254	649	PA0929	CDS			two-component response regulator
388	227	157	446	430	649	PA0930	CDS			two-component sensor
888	485	486	616	642	785	PA0931	CDS	pirA		outer membrane receptor FepA
5339	3344	2154	930	1024	1522	PA0932	CDS	cysM	2.5.1.47	cysteine synthase B
5450	3517	1865	1418	1424	2020	PA0933	CDS	ygcA		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
14070	8422	5225	6430	5449	7969	PA0934	CDS	relA		GTP pyrophosphokinase
1788	1078	724	728	737	808	PA0935	CDS		3.6.1.9	nucleoside triphosphate pyrophosphohydrolase
6899	3983	3329	1738	1812	2360	PA0936	CDS	lpxO2		lipopolysaccharide biosynthetic protein LpxO
6585	3285	3378	2577	2245	4050	PA0937	CDS			hypothetical protein
5564	3466	2552	2073	1922	3304	PA0938	CDS			hypothetical protein
274	136	124	176	161	171	PA0939	CDS			hypothetical protein
262	135	147	283	240	267	PA0940	CDS			hypothetical protein
307	124	164	302	240	271	PA0941	CDS			hypothetical protein
1179	694	621	1574	1281	1220	PA0942	CDS			transcriptional regulator
5725	3211	2224	2219	1977	2867	PA0943	CDS			hypothetical protein
3268	1724	842	720	614	1256	PA0944	CDS	purN	2.1.2.2	phosphoribosylglycinamide formyltransferase
5636	2953	1320	1221	1050	2119	PA0945	CDS	purM	6.3.3.1	phosphoribosylformylglycinamidine cyclo-ligase
3310	1999	1309	1507	1451	1881	PA0946	CDS			hypothetical protein
3701	2084	2316	1937	1623	2903	PA0947	CDS			DNA replication initiation factor
1498	845	552	331	360	561	PA0948	CDS			hypothetical protein
3601	2049	1215	883	865	1276	PA0949	CDS	wrbA		NAD(P)H dehydrogenase
3228	1816	1577	1174	1273	1894	PA0950	CDS			arsenate reductase
3408	1783	1832	1647	1475	2140	PA0951	CDS			hypothetical protein
4522	2525	3220	568	539	793	PA0951a	CDS			hypothetical protein
4233	2383	3207	958	802	1352	PA0952	CDS			hypothetical protein
532	309	240	258	290	340	PA0953	CDS			thioredoxin
192	129	87	55	84	71	PA0954	CDS		3.6.1.7	acylphosphatase
4838	2738	2071	1199	1004	1792	PA0955	CDS			hypothetical protein
15393	8033	5657	2584	2600	5177	PA0956	CDS	proS	6.1.1.15	proline--tRNA ligase
257	176	149	221	238	273	PA0957	CDS			hypothetical protein
16356	9731	9678	4220	4243	7305	PA0958	CDS	oprD		porin D
4155	2073	2043	2819	2851	3615	PA0959	CDS			hypothetical protein
730	343	333	517	511	516	PA0960	CDS			hypothetical protein
1425	807	517	412	362	694	PA0961	CDS			cold-shock protein
34873	16839	18832	20104	14914	16011	PA0962	CDS			DNA-binding stress protein
13049	7903	4460	3363	3045	5640	PA0963	CDS	aspS	6.1.1.12	aspartate--tRNA ligase
13826	7454	6521	7431	5436	9639	PA0964	CDS	pmpR		transcriptional regulator PmpR
1649	948	629	423	417	475	PA0965	CDS	ruvC	3.1.22.4	crossover junction endodeoxyribonuclease RuvC
4372	2298	2412	1973	1946	2457	PA0966	CDS	ruvA		Holliday junction ATP-dependent DNA helicase RuvA
3361	2005	1218	1357	1323	1711	PA0967	CDS	ruvB	3.6.1.-	Holliday junction ATP-dependent DNA helicase RuvB
1493	922	942	1004	897	1184	PA0968	CDS			hypothetical protein
5950	3336	2569	2987	2555	3549	PA0969	CDS	tolQ		translocation protein TolQ
2963	1529	1160	1763	1453	2022	PA0970	CDS	tolR		translocation protein TolR
7894	3928	3215	4132	3236	4606	PA0971	CDS	tolA		translocation protein TolA
16350	9121	7443	7100	6612	9052	PA0972	CDS	tolB		translocation protein TolB
34783	19181	16028	20237	17026	22076	PA0973	CDS	oprL		peptidoglycan associated lipoprotein OprL
14601	9136	5990	6222	5772	7553	PA0974	CDS			hypothetical protein
1078	661	517	379	348	483	PA0975	CDS			radical activating enzyme
917	510	522	397	385	452	PA0976	CDS			7-cyano-7-deazaguanine synthase
1131.12	878.614	1202.96	353.358	463.437	596.985	PA0976.1	tRNA			tRNA-Lys
26805.2	10828.9	18943.7	7642.99	5649.52	7538.56	PA0978	CDS			hypothetical protein
2353.76	1300.83	1458.77	1365.36	1228.82	1460.99	PA0979	CDS			hypothetical protein
2072	832	1215	1269	977	1652	PA0981	CDS			hypothetical protein
6891	3573	4826	5452	4550	5756	PA0982	CDS			hypothetical protein
1908	727	1325	1945	1687	1887	PA0983	CDS			hypothetical protein
1629	657	589	758	463	1002	PA0984	CDS			colicin immunity protein
3656	1362	2008	912	728	2321	PA0985	CDS	pyoS5		pyocin S5
2362	1089	1595	1656	1246	1923	PA0986	CDS			hypothetical protein
806.837	442	393	903.926	740.964	831	PA0987	CDS			hypothetical protein
1160	756	836	859	941	944	PA0988	CDS			hypothetical protein
402	249	227	335	280	409	PA0989	CDS			hypothetical protein
379	187	187	333	298	341	PA0990	CDS			hypothetical protein
527	260	309	324	251	369	PA0992	CDS	cupC1		fimbrial subunit CupC1
167	93	110	57	54	109	PA0993	CDS	cupC2		chaperone CupC2
1715	907	1107	1449	1280	1570	PA0994	CDS	cupC3		usher CupC3
4156	1710	3344	2573	2347	2546	PA0995	CDS	ogt		methylated-DNA--protein-cysteine methyltransferase
5315	3170	1962	2771	2785	4709	PA0996	CDS	pqsA		anthranilate--CoA ligase
3117	1715	915	3349	2902	3523	PA0997	CDS	pqsB		hypothetical protein
2828	1500	669	2461	2043	2624	PA0998	CDS	pqsC		hypothetical protein
3705	2127	756	3846	3566	3716	PA0999	CDS	pqsD	2.3.1.180	3-oxoacyl-ACP synthase
3008	1820	688	3144	3335	2832	PA1000	CDS	pqsE		thioesterase PqsE
2889	1818	565	2912	2946	2468	PA1001	CDS	phnA	4.1.3.27	anthranilate synthase component I
877	558	321	1357	1197	1136.62	PA1002	CDS	phnB		anthranilate synthase component II
2279	1171	908	1332	1366	1281.38	PA1003	CDS	mvfR		transcriptional regulator MvfR
3497	2454	1145	2367	1856	2185	PA1004	CDS	nadA		quinolinate synthetase
4951	2798	2200	1632	1667	2288	PA1005	CDS			hypothetical protein
658	376	434	229	212	281	PA1006	CDS			hypothetical protein
1610	996	756	481	561	733	PA1007	CDS			hypothetical protein
2901	1684	1694	1276	1394	1827	PA1008	CDS	bcp		bacterioferritin comigratory protein
2247	1326	746	375	424	725	PA1009	CDS			hypothetical protein
11487	6169	4968	2744	3049	4920	PA1010	CDS	dapA		4-hydroxy-tetrahydrodipicolinate synthase
14566.7	8338.48	4824.81	3163.98	2884.5	4947.73	PA1011	CDS			hypothetical protein
3894.31	2380.52	1917.19	1129.02	1021.5	1611.27	PA1012	CDS			hypothetical protein
8660	4936	4263	3506	2869	3982	PA1013	CDS	purC	6.3.2.6	phosphoribosylaminoimidazole-succinocarboxamide synthase
236	136	181	104	87	70	PA1013.1	tRNA			tRNA-Ser
354	225	194	259	202	247	PA1014	CDS			glycosyl transferase family protein
669	333	263	339	309	418	PA1015	CDS			transcriptional regulator
566	359	168	262	246	367	PA1016	CDS			thiolase
338	213	96	279	273	268	PA1017	CDS	pauA		pimeloyl-CoA synthetase
286	146	114	174	160	217	PA1018	CDS			hypothetical protein
153	110	91	143	140	141	PA1019	CDS	mucK		cis,cis-muconate transporter MucK
11	7	5	17	17	29	PA1019a	CDS			thioesterase
88	54	32	76	68	66	PA1020	CDS			acyl-CoA dehydrogenase
58	30	18	47	37	49	PA1021	CDS			enoyl-CoA hydratase
163	76	58	121	101	117	PA1022	CDS			acyl-CoA dehydrogenase
240	125	60	184	129	144	PA1023	CDS			short-chain dehydrogenase
240	128	77	278	216	225	PA1024	CDS			nitronate monooxygenase
172	97	75	143	127	130	PA1025	CDS			porin
305	173	138	115	106	159	PA1026	CDS			hypothetical protein
679	374	193	674	672	703	PA1027	CDS			aldehyde dehydrogenase
418	250	168	431	369	417	PA1028	CDS			oxidoreductase
2387	1548	625	1294	1297	1241	PA1030	CDS			hypothetical protein
3377	2187	1132	1527	1504	1887	PA1031	CDS			DNA recombination protein RmuC
4733	2741	1438	2416	2073	2858	PA1032	CDS	quiP		acyl-homoserine lactone acylase QuiP
1645	966	577	864	729	982	PA1033	CDS			glutathione S-transferase
5795	3310	3308	657	845	1690	PA1034	CDS			hypothetical protein
1255	676	899	741	687	1302	PA1035	CDS			hypothetical protein
2061	1213	716	1061	884	1041	PA1036	CDS			hypothetical protein
1061	609	461	736	554	726	PA1037	CDS			hypothetical protein
537	290	260	342	337	330	PA1038	CDS			hypothetical protein
1107	566	437	515	585	643	PA1039	CDS			hypothetical protein
1172	687	471	589	691	756	PA1040	CDS			hypothetical protein
24305	10208	6592	32239	24316	30881	PA1041	CDS			hypothetical protein
463	250	148	154	173	238	PA1042	CDS			hypothetical protein
854	549	239	405	373	495	PA1043	CDS			hypothetical protein
446	277	155	159	112	210	PA1044	CDS			hypothetical protein
4159	2491	1492	1142	946	1759	PA1045	CDS			ATP-dependent DNA helicase DinG
2948	1600	904	1108	1069	1508	PA1046	CDS			hypothetical protein
1719	991	636	673	774	1211	PA1047	CDS			esterase
17122	9854	6125	7388	6760	7500	PA1048	CDS			hypothetical protein
5265	2950	1463	1395	1355	1455	PA1049	CDS	pdxH	1.4.3.5	pyridoxine/pyridoxamine 5'-phosphate oxidase
2986	1898	709	999	961	947	PA1050	CDS			hypothetical protein
723	386	180	362	305	411	PA1051	CDS			transporter
819	490	265	688	654	676	PA1052	CDS			hypothetical protein
529	264	264	309	250	317	PA1052a	CDS			hypothetical protein
51200	24009	22256	20761	20185	22752	PA1053	CDS			hypothetical protein
7141	3833	2830	2791	2523	2695	PA1054	CDS			monovalent cation/H+ antiporter subunit A
907	530	495	596	479	534	PA1055	CDS			monovalent cation/H+ antiporter subunit C
2537	1568	976	1587	1384	1507	PA1056	CDS			monovalent cation/H+ antiporter subunit D
1372	687	704	594	546	639	PA1057	CDS			monovalent cation/H+ antiporter subunit E
272	178	146	176	159	199	PA1058	CDS			monovalent cation/H+ antiporter subunit F
719	422	406	558	491	489	PA1059	CDS			monovalent cation/H+ antiporter subunit G
1141	598	486	413	415	506	PA1060	CDS			hypothetical protein
1523	952	404	265	330	331	PA1061	CDS			hypothetical protein
689	449	190	191	208	213	PA1062	CDS			hypothetical protein
419	246	195	196	230	202	PA1063	CDS			hypothetical protein
1446	852	539	540	543	834	PA1064	CDS			hypothetical protein
547	328	185	352	298	303	PA1065	CDS			hypothetical protein
672	364	258	549	436	536	PA1066	CDS			short-chain dehydrogenase
224	104	105	123	111	142	PA1067	CDS			transcriptional regulator
3406	1933	1096	1384	1337	1874	PA1068	CDS			heat shock protein
4246	2547	952	1944	1502	2601	PA1069	CDS			hypothetical protein
1069	618	518	1622	1397	1529	PA1070	CDS	braG		ABC transporter ATP-binding protein
1180	654	422	912	790	935	PA1071	CDS	braF		ABC transporter ATP-binding protein
1640	907	595	1395	1177	1443	PA1072	CDS	braE		branched-chain amino acid ABC transporter permease BraE
1631.23	768	589	1060.75	994.728	1478.75	PA1073	CDS	braD		branched-chain amino acid ABC transporter permease BraD
20465	9770	7669	14571	11163	16187	PA1074	CDS	braC		branched-chain amino acid ABC transporter substrate-binding protein BraC
2230	1027	1199	898	1017	1141	PA1075	CDS			hypothetical protein
6591	3276	2863	4944	3861	3709	PA1076	CDS			hypothetical protein
3171	1370	1372	442	669	593	PA1077	CDS	flgB		flagellar basal-body rod protein FlgB
1844	1025	659	318	438	353	PA1078	CDS	flgC		flagellar basal body rod protein FlgC
4269	2395	1579	887	1171	1070	PA1079	CDS	flgD		flagellar basal body rod modification protein
16241	8630	4347	1905	1845	1939	PA1080	CDS	flgE		flagellar hook protein FlgE
4076	2175	1678	825	1262	1004	PA1081	CDS	flgF		flagellar basal body rod protein FlgF
9466	5174	3055	1275	1591	1710	PA1082	CDS	flgG		flagellar basal body rod protein FlgG
4451	2421	1198	691	886	663	PA1083	CDS	flgH		flagellar basal body L-ring protein
5039	2916	1313	815	869	939	PA1084	CDS	flgI		flagellar basal body P-ring protein
6016	3094	1856	1078	1028	1064	PA1085	CDS	flgJ		peptidoglycan hydrolase FlgJ
12635	6608	3354	2472	2013	2481	PA1086	CDS	flgK		flagellar hook-associated protein FlgK
12093	5783	4148	2932	2558	2725	PA1087	CDS	flgL		flagellar hook-associated protein FlgL
4637	2616	1644	1111	986	1201	PA1088	CDS			hypothetical protein
2198	1392	892	617	572	576	PA1089	CDS			hypothetical protein
1665	898	529	379	413	364	PA1090	CDS			hypothetical protein
17913	10257	5079	4687	4244	3628	PA1091	CDS	fgtA		flagellar glycosyl transferase FgtA
685808	339613	190808	76253	63591	60362	PA1092	CDS	fliC		B-type flagellin
22146	10464	4047	2291	1960	2000	PA1093	CDS			hypothetical protein
79482	37241	23211	14125	11634	12579	PA1094	CDS	fliD		B-type flagellar hook-associated protein
19287	8772	11650	4696	4939	4022	PA1095	CDS			B-type flagellar protein FliS
13173	6382	7265	3159	3151	2764	PA1096	CDS			hypothetical protein
18346.4	11825	7955	8182	9048.81	9500	PA1097	CDS	fleQ		transcriptional regulator FleQ
7947	4650	2176	1221	1338	1575	PA1098	CDS	fleS		two-component sensor
6104	3455	1571	1052	1039	1182	PA1099	CDS	fleR		two-component response regulator
1868	1056	1006	747	834	799	PA1100	CDS	fliE		flagellar hook-basal body complex protein FliE
8428	4579	2484	1465	1734	1764	PA1101	CDS	fliF		flagellar MS-ring protein
8193	4507	2268	1593	1579	1829	PA1102	CDS	fliG		flagellar motor switch protein FliG
5544	3331	1948	2169	1924	2289	PA1103	CDS			flagellar assembly protein FliH
4070	2386	1224	1065	1094	1150	PA1104	CDS	fliI		flagellum-specific ATP synthase
740	414	289	460	362	356	PA1105	CDS	fliJ		flagellar biosynthesis chaperone
1444	768	505	1081	875	1162	PA1106	CDS			hypothetical protein
1342	617	769	807	901	658	PA1107	CDS			hypothetical protein
262	130	48	162	154	151	PA1108	CDS			major facilitator superfamily transporter
1139	696	393	624	618	741	PA1109	CDS			transcriptional regulator
1427	762	600	416	486	523	PA1110	CDS			hypothetical protein
248	119	81	277	253	270	PA1111	CDS			hypothetical protein
2679	1688	924	1338	1396	1232	PA1112	CDS			hypothetical protein
3571	2076	1352	918	963	971	PA1112a	CDS			hypothetical protein
13142	7451	7240	5379	5991	4330	PA1112b	CDS			hypothetical protein
1230	702	323	734	640	714	PA1113	CDS			ABC transporter ATP-binding protein/permease
843	533	402	964	742	891	PA1114	CDS			hypothetical protein
10669	5493	4301	6358	5367	6833	PA1115	CDS			hypothetical protein
1612	1154	673	399	347	496	PA1116	CDS			hypothetical protein
1386	1009	632	520	530	555	PA1117	CDS			hypothetical protein
3012	1583	1966	3933	3468	3500	PA1118	CDS			hypothetical protein
3278	1940	1018	1701	1412	1694	PA1119	CDS	yfiB		hypothetical protein
3254	1768	1213	1487	1728	1837	PA1120	CDS	tpbB		diguanylate cyclase
