CTRL1	CTRL2	CIP1	CIP2	id	type	name	??	description
308.035	797.991	602.217	519.208	b1120	CDS	cobB	2.3.1.286	protein-lysine deacetylase/desuccinylase/lipoamidase
120.965	0.00944994	45.783	5.79188	b1120	CDS	cobB		CobB-S
27	94	46	37	b1121	CDS	ycfZ		putative inner membrane protein
27	37	34	21	b1122	CDS	ymfA		putative inner membrane protein YmfA
1445	3101	1995	1694	b1123	CDS	potD	7.6.2.11	spermidine preferential ABC transporter periplasmic binding protein
358	684	663	487	b1124	CDS	potC	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotC
451	1222	919	714	b1125	CDS	potB	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotB
863	2095	1428	1103	b1126	CDS	potA	7.6.2.11	spermidine preferential ABC transporter ATP binding subunit
1031	2199	1005	919	b1127	CDS	pepT	3.4.11.4	peptidase T
1345	3312	1998	1579	b1128	CDS	roxA	1.14.11.47	ribosomal protein-arginine oxygenase
854	1813	1163	1039	b1129	CDS	phoQ	2.7.13.3	sensor histidine kinase PhoQ
1162	2119	1144	1108	b1130	CDS	phoP		DNA-binding transcriptional dual regulator PhoP
2232	5208	4638	3242	b1131	CDS	purB	4.3.2.2	adenylosuccinate lyase
368	556	996	757	b1132	CDS	hflD		lysogenization regulator
1200	2531	2461	1780	b1133	CDS	mnmA	2.8.1.13	tRNA-specific 2-thiouridylase
117	287	312	218	b1134	CDS	nudJ	3.6.1.42	phosphatase NudJ
194	354	319	217	b1135	CDS	rluE	5.4.99.20	23S rRNA pseudouridine(2457) synthase
12973	35297	25305	22727	b1136	CDS	icd	1.1.1.42	isocitrate dehydrogenase
57	78	27	29	b1137	CDS	ymfD		e14 prophage; putative SAM-dependent methyltransferase YmfD
32	32	9	8	b1138	CDS	ymfE		e14 prophage; uncharacterized protein YmfE
216	312	87	144	b1139	CDS	lit		e14 prophage; cell death peptidase Lit
63	122	53	40	b1140	CDS	intE		e14 prophage; putative integrase
11	11	8	9	b1141	CDS	xisE		e14 prophage; putative excisionase
23	25	15	17	b1142	CDS	ymfH		e14 prophage; putative protein YmfH
255.133	383.461	94	120.794	b1143	CDS	ymfI		e14 prophage; uncharacterized protein YmfI
92.8673	187.539	38	42.2057	b1144	CDS	ymfJ		e14 prophage; uncharacterized protein YmfJ
332	747	235	206	b1145	CDS	ymfK		e14 prophage; putative repressor protein YmfK
29	59	19	15	b1146	CDS	ymfT		e14 prophage; putative DNA-binding transcriptional regulator YmfT
28	58	31	33	b1147	CDS	ymfL		e14 prophage; uncharacterized protein YmfL
6	16	6	6	b1148	CDS	ymfM		e14 prophage; uncharacterized protein YmfM
27	38	29	34	b1149	CDS	ymfN		e14 prophage; chimeric replication protein/phage terminase YmfN
0	1	1	0	b1150	CDS	ymfR		e14 prophage; IPR020297 domain-containing protein YmfR
5	18	8	9	b1151	CDS	beeE		e14 prophage; protein BeeE
5	6	2	6	b1153	CDS	ymfQ		e14 prophage; DUF2313 domain-containing protein YmfQ
2	1	1	3	b1154	CDS	ycfK		e14 prophage; protein StfP
7	22	3	2	b1155	CDS	tfaP		e14 prophage; putative tail fiber assembly protein TfaP
39	118	32	29	b1156	CDS	tfaE		e14 prophage; putative tail fiber assembly protein TfaE
3	3	1	1	b1158	CDS	pinE		e14 prophage; site-specific DNA recombinase
112	144	57	76	b1159	CDS	mcrA		e14 prophage; 5-methylcytosine-specific restriction enzyme McrA
18	23	4	4	b1160	CDS	iraM		anti-adaptor protein IraM, inhibitor of sigma(S) proteolysis
1	4	0	1	b4738	CDS	ymgK		protein YmgK
5	6	0	4	b4739	CDS	ymgL		protein YmgL
90	171	75	77	b1161	CDS	ycgX		DUF1398 domain-containing protein YcgX
1984	4942	1782	1898	b1162	CDS	bluR		DNA-binding transcriptional repressor BluR
1850	3928	3565	3528	b1163	CDS	bluF		blue light- and temperature-regulated antirepressor BluF
703	1987	99	105	b1164	CDS	ycgZ		putative two-component system connector protein YcgZ
581	885	44	55	b1165	CDS	ymgA		putative two-component system connector protein YmgA
1156	1225	43	85	b1166	CDS	ariR		putative two-component system connector protein AriR
1551	2074	83	162	b1167	CDS	ymgC		protein YmgC
320	450	77	78	b1168	CDS	pdeG		putative c-di-GMP phosphodiesterase PdeG
34	68	25	30	b4520	CDS	ymgF		inner membrane protein YmgF
59	106	45	47	b1171	CDS	ymgD		PF16456 family protein YmgD
33	99	23	15	b1172	CDS	ymgG		PF13488 family protein YmgG
6	3	1	0	b4593	CDS	ymgI		uncharacterized protein YmgI
7	14	4	6	b4594	CDS	ymgJ		uncharacterized protein YmgJ
335	601	250	214	b1174	CDS	minE		Z-ring positioning protein MinE
1532	3870	1310	1127	b1175	CDS	minD		Z-ring positioning protein MinD
1012	2060	703	545	b1176	CDS	minC		Z-ring positioning protein MinC
341	546	145	131	b1177	CDS	ycgJ		PF05666 family protein YcgJ
107	236	79	72	b1178	CDS	pliG		inhibitor of g-type lysozyme
221	482	167	128	b1179	CDS	ycgL		PF05166 family protein YcgL
279	760	321	251	b1180	CDS	ycgM		putative isomerase/hydrolase
173	487	187	190	b1181	CDS	ycgN		PF03693 family protein YcgN
56	67	26	36	b1182	CDS	hlyE		hemolysin E
33	80	356	270	b1183	CDS	umuD	2.7.7.7	DNA polymerase V protein UmuD
68	153	676	468	b1184	CDS	umuC	2.7.7.7	DNA polymerase V catalytic protein
285	449	392	357	b1185	CDS	dsbB	1.8.5.9	protein thiol:quinone oxidoreductase DsbB
571	1104	843	646	b1186	CDS	nhaB		Na(+):H(+) antiporter NhaB
787	1719	1199	1083	b1187	CDS	fadR		DNA-binding transcriptional dual regulator FadR
3055	7260	5526	5322	b1188	CDS	ycgB		PF04293 family protein YcgB
405	869	561	530	b1189	CDS	dadA	1.4.5.1	D-amino acid dehydrogenase
212	479	357	250	b1190	CDS	dadX	5.1.1.1	alanine racemase 2
82.5776	160.274	111.865	77.1102	b4740	CDS	ymgM		protein YmgM
653.422	1093.73	991.135	845.89	b1191	CDS	cvrA		putative K(+):H(+) antiporter
211	411	204	162	b1192	CDS	ldcA	3.4.17.13	murein L,D-carboxypeptidase
155	360	280	208	b1193	CDS	emtA		lytic murein transglycosylase E
90	158	413	378	b1194	CDS	ycgR		flagellar brake protein YcgR
190	264	173	159	b1195	CDS	ymgE		PF04226 family protein YmgE
75	109	38	58	b1196	CDS	ycgY		uncharacterized protein YcgY
586	1299	823	644	b1197	CDS	treA	3.2.1.28	periplasmic trehalase
671	1460	1200	937	b1198	CDS	dhaM	2.7.1.121	dihydroxyacetone kinase subunit M
229	528	358	330	b1199	CDS	dhaL	2.7.1.121	dihydroxyacetone kinase subunit L
575	1142	602	498	b1200	CDS	dhaK	2.7.1.121	dihydroxyacetone kinase subunit K
242	534	146	136	b1201	CDS	dhaR		DNA-binding transcriptional dual regulator DhaR
203	388	222	173	b1202	CDS	ycgV		putative autotransporter adhesin YcgV
889	2440	1884	1453	b1203	CDS	ychF		redox-responsive ATPase YchF
204	641	357	326	b1204	CDS	pth	3.1.1.29	peptidyl-tRNA hydrolase
397	850	258	224	b1205	CDS	ychH		stress-induced protein
215	368	320	290	b1206	CDS	dauA		aerobic C4-dicarboxylate transporter DauA
2642	7450	5486	4328	b1207	CDS	prs	2.7.6.1	ribose-phosphate diphosphokinase
1167	2777	1970	1679	b1208	CDS	ispE	2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
695	1783	1396	1096	b1209	CDS	lolB		outer membrane lipoprotein LolB
983	2355	1375	1352	b1210	CDS	hemA	1.2.1.70	glutamyl-tRNA reductase
505	1335	1202	1093	b1211	CDS	prfA		peptide chain release factor RF1
155	358	429	389	b1212	CDS	prmC	2.1.1.297	protein-(glutamine-N(5)) methyltransferase
88	199	201	159	b1213	CDS	ychQ		SirB family protein YchQ
745	1980	1230	1199	b1214	CDS	ychA		transglutaminase-like/TPR repeat-containing protein
1513	3490	2346	2031	b1215	CDS	kdsA	2.5.1.55	3-deoxy-D-manno-octulosonate 8-phosphate synthase
55	133.5	82	69.5	b4419	CDS	ldrA		small toxic polypeptide LdrA
13	31	16	12	b4421	CDS	ldrB		small toxic polypeptide LdrB
55	133.5	82	69.5	b4423	CDS	ldrC		small toxic polypeptide LdrC
811	1626	590	500	b1216	CDS	chaA		Na(+)/K(+):H(+) antiporter ChaA
285	689	270	249	b1217	CDS	chaB		putative cation transport regulator ChaB
359	828	377	337	b1218	CDS	chaC	4.3.2.7	glutathione-specific gamma-glutamylcyclotransferase
302	809	409	372	b1219	CDS	ychN		DsrE/F sulfur relay family protein YchN
511	851	510	489	b1220	CDS	ychO		putative invasin YchO
208	429	298	219	b1221	CDS	narL		DNA-binding transcriptional dual regulator NarL
320	819	365	274	b1222	CDS	narX	2.7.13.3	sensory histidine kinase NarX
97	175	35	43	b1223	CDS	narK		nitrate:nitrite antiporter NarK
438	884	187	212	b1224	CDS	narG	1.7.5.1	nitrate reductase A subunit alpha
85	253	113	81	b1225	CDS	narH	1.7.5.1	nitrate reductase A subunit beta
12	52	26	13	b1226	CDS	narJ		nitrate reductase 1 molybdenum cofactor assembly chaperone
19	55	26	35	b1227	CDS	narI	1.7.5.1	nitrate reductase A subunit gamma
45	68.9656	48.988	68.4988	b1228	CDS	ychS		putative uncharacterized protein YchS
0	15.0344	10.012	5.50115	b1229	CDS	tpr		protamine-like protein
61.927	104.553	73.7448	98.509	b1230	tRNA	tyrV		tRNA-Tyr
61.927	104.553	73.7448	98.509	b1231	tRNA	tyrT		tRNA-Tyr
1428	2813	1612	1264	b1232	CDS	purU	3.5.1.10	formyltetrahydrofolate deformylase
465	966	423	434	b1233	CDS	ychJ		NTF2-like domain-containing protein YchJ
1689	3821	2691	2424	b1234	CDS	rssA		putative patatin-like phospholipase RssA
1230	2550	1758	1575	b1235	CDS	rssB		regulator of RpoS
2848	6322	3690	3143	b1236	CDS	galU	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
10183	24572	5547	5046	b1237	CDS	hns		DNA-binding transcriptional dual regulator H-NS
277	544	99	71	b1238	CDS	tdk	2.7.1.21	thymidine/deoxyuridine kinase
13705	25500	33811	27598	b1241	CDS	adhE	1.1.1.1	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
4	6	3	8	b4771	CDS	ychT		protein YchT
142	182	112	107	b1242	CDS	ychE		MarC family putative inner membrane protein YchE
303.891	796.838	498.521	408.04	b4711	CDS	insH21		IS5 transposase and trans-activator
15209	35017	19142	19089	b1243	CDS	oppA	7.4.2.6	oligopeptide ABC transporter periplasmic binding protein
1463	2351	1859	1535	b1244	CDS	oppB	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB
835	1506	1299	1129	b1245	CDS	oppC	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC
1076	2160	1854	1493	b1246	CDS	oppD	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD
1325	2809	1986	1690	b1247	CDS	oppF	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF
313	739	378	347	b1248	CDS	yciU		DUF440 domain-containing protein YciU
797	1895	914	801	b1249	CDS	clsA		cardiolipin synthase A
425	730	162	129	b4595	CDS	yciY		uncharacterized protein YciY
404	610	191	184	b1250	CDS	kch		K(+) channel Kch
491	608	290	296	b1251	CDS	yciI		protein YciI
525	1444	721	533	b1252	CDS	tonB		Ton complex subunit TonB
248	490	167	193	b1253	CDS	yciA	3.1.2.20	acyl-CoA thioesterase YciA
359	667	566	493	b1254	CDS	yciB		inner membrane protein
312	655	383	280	b1255	CDS	yciC		putative inner membrane protein
55	99	33	26	b1256	CDS	ompW		outer membrane protein W
422	726	230	161	b1257	CDS	yciE		DUF892 domain-containing protein YciE
317	686	208	157	b1258	CDS	yciF		DUF892 domain-containing protein YciF
609	892	223	229	b1259	CDS	yciG		stress-induced bacterial acidophilic repeat motifs-containing protein YciG
1158	1856	2446	2179	b1260	CDS	trpA	4.1.2.8	tryptophan synthase subunit alpha
1331	2447	3377	2847	b1261	CDS	trpB	4.2.1.122	tryptophan synthase subunit beta
990	1896	2054	1754	b1262	CDS	trpC	4.1.1.48	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
559	1145	1311	1080	b1263	CDS	trpD	2.4.2.18	anthranilate synthase subunit TrpD
814	1606	2165	2134	b1264	CDS	trpE	4.1.3.27	anthranilate synthase subunit TrpE
47	75	53	36	b1265	CDS	trpL		trp operon leader peptide
321	826	492	416	b1266	CDS	yciV	3.1.3.97	RNA/ssDNA 5'->3' exonuclease
405	1090	753	761	b1267	CDS	yciO		putative RNA-binding protein YciO
287	399	259	276	b1268	CDS	yciQ		DUF2207 domain-containing protein YciQ
1239	3008	1925	1722	b1269	CDS	rluB	5.4.99.22	23S rRNA pseudouridine(2605) synthase
137	321	287	252	b1270	CDS	btuR	2.5.1.17	cobinamide/cobalamin adenosyltransferase
183	342	329	304	b1271	CDS	yciK		putative oxidoreductase
871	1945	1084	968	b1272	CDS	sohB		S49 peptidase family protein
316	577	244	254	b1273	CDS	yciN		protein YciN
4145	10283	6227	5240	b1274	CDS	topA	5.6.2.1	DNA topoisomerase 1
890	2230	1118	1073	b1275	CDS	cysB		DNA-binding transcriptional dual regulator CysB
29	47	14	13	b4522	CDS	ymiA		uncharacterized protein YmiA
78	106	32	34	b4523	CDS	yciX		uncharacterized protein YciX
19	32	10	8	b4741	CDS	ymiC		protein YmiC
4386	8460	7471	7043	b1276	CDS	acnA		aconitate hydratase 1
610	1483	839	795	b1277	CDS	ribA	3.5.4.25	GTP cyclohydrolase 2
438	1056	520	521	b1278	CDS	pgpB	3.1.3.27	phosphatidylglycerophosphatase B
358	595	268	278	b1279	CDS	lapA		lipopolysaccharide assembly protein A
689	1562	752	652	b1280	CDS	lapB		lipopolysaccharide assembly protein B
384	820	380	289	b1281	CDS	pyrF	4.1.1.23	orotidine-5'-phosphate decarboxylase
91	184	93	81	b1282	CDS	yciH		putative translation factor
1119	2015	720	749	b1283	CDS	osmB		osmotically-inducible lipoprotein OsmB
449	1003	608	564	b1284	CDS	yciT		putative DNA-binding transcriptional regulator YciT
133	285	216	200	b4596	CDS	yciZ		UPF0509 protein YciZ
10	13	4	5	b4772	CDS	ymiD		protein YmiD
560	1359	685	421	b1285	CDS	pdeR	3.1.4.52	cyclic di-GMP phosphodiesterase PdeR
2	4	8	2	b4672	CDS	ymiB		putative protein YmiB
2236	6242	4142	2955	b1286	CDS	rnb	3.1.13.1	RNase II
531	1412	701	433	b1287	CDS	yciW		putative oxidoreductase
3384	8418	7916	6263	b1288	CDS	fabI	1.3.1.104	enoyl-[acyl-carrier-protein] reductase
43	48	62	75	b1289	CDS	ycjD		DUF559 domain-containing protein YcjD
200	397	351	292	b1290	CDS	sapF		putrescine ABC exporter ATP binding protein SapF
322	718	535	483	b1291	CDS	sapD		putrescine ABC exporter ATP binding protein SapD
117	279	214	177	b1292	CDS	sapC		putrescine ABC exporter membrane protein SapC
180	423	316	253	b1293	CDS	sapB		putrescine ABC exporter membrane subunit SapB
552	1006	828	644	b1294	CDS	sapA		putative periplasmic binding protein SapA
205	301	227	208	b1295	CDS	ymjA		DUF2543 domain-containing protein YmjA
251	469	447	409	b1296	CDS	puuP		putrescine:H(+) symporter PuuP
29	105	124	134	b4742	CDS	ymjE		protein YmjE
1020	2852	3307	3104	b1297	CDS	puuA	6.3.1.11	glutamate-putrescine ligase
568	1088	831	671	b1298	CDS	puuD	3.5.1.94	gamma-glutamyl-gamma-aminobutyrate hydrolase
450	819	1033	1049	b1299	CDS	puuR		DNA-binding transcriptional repressor PuuR
344	601	933	922	b1300	CDS	puuC	1.2.1.19	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase
197	399	519	558	b1301	CDS	puuB		gamma-glutamylputrescine oxidase
155	381	477	439	b1302	CDS	puuE	2.6.1.19	4-aminobutyrate aminotransferase PuuE
125	249	130	99	b1303	CDS	pspF		DNA-binding transcriptional dual regulator PspF
366	1037	332	352	b1304	CDS	pspA		phage shock protein A
22	83	24	34	b1305	CDS	pspB		phage shock protein B
51	116	63	55	b1306	CDS	pspC		phage shock protein C
21	43	42	22	b1307	CDS	pspD		phage shock protein D
139	309	175	126	b1308	CDS	pspE	2.8.1.1	thiosulfate sulfurtransferase PspE
10	15	1	0	b1309	CDS	ycjM	2.4.1.352	glucosylglycerate phosphorylase
4	7	4	2	b1310	CDS	ycjN		putative ABC transporter periplasmic binding protein YcjN
1	6	4	6	b1311	CDS	ycjO		putative ABC transporter membrane subunit YcjO
9	23	11	10	b1312	CDS	ycjP		putative ABC transporter membrane subunit YcjP
10	33	19	17	b1313	CDS	ycjQ		D-guloside 3-dehydrogenase
11	35	29	13	b1314	CDS	ycjR		3-dehydro-D-guloside 4-epimerase
20	26	23	21	b1315	CDS	ycjS		D-glucoside 3-dehydrogenase
34	87	49	52	b1316	CDS	ycjT	2.4.1.230	kojibiose phosphorylase
4	3	11	8	b1317	CDS	ycjU	5.4.2.6	beta-phosphoglucomutase
7	7	1	4	b1319	CDS	ompG		outer membrane porin G
38	96	24	19	b1320	CDS	ycjW		DNA-binding transcriptional repressor YcjW
145	306	180	177	b1321	CDS	ycjX		DUF463 domain-containing protein YcjX
82	164	137	98	b1322	CDS	ycjF		DUF697 domain-containing inner membrane protein YcjF
1047	2434	1271	1110	b1323	CDS	tyrR		DNA-binding transcriptional dual regulator TyrR
5018	12925	8109	7135	b1324	CDS	tpx	1.11.1.24	lipid hydroperoxide peroxidase
348	823	559	513	b1325	CDS	ycjG	5.1.1.20	L-Ala-D/L-Glu epimerase
291	678	380	330	b1326	CDS	mpaA		murein tripeptide amidase A
10	23	24	16	b4525	CDS	ymjC		putative uncharacterized protein YmjC
2	3	5	3	b4673	CDS	ymjD		uncharacterized protein YmjD
64	157	105	82	b1327	CDS	ycjY		putative hydrolase YcjY
164	298	139	135	b1328	CDS	pgrR		DNA-binding transcriptional repressor PgrR
426	967	315	235	b1329	CDS	mppA		murein tripeptide ABC transporter periplasmic binding protein
169	267	63	63	b1330	CDS	ynaI		small conductance mechanosensitive channel YnaI
303.891	796.838	498.521	408.04	b1331	CDS	insH4		IS5 transposase and trans-activator
1650	2626	974	826	b1332	CDS	ynaJ		DUF2534 domain-containing protein YnaJ
1813	3847	2024	1868	b1333	CDS	uspE		universal stress protein E
2597	5490	3869	3297	b1334	CDS	fnr		DNA-binding transcriptional dual regulator FNR
125	195	139	134	b1335	CDS	ogt	2.1.1.63	methylated-DNA--[protein]-cysteine S-methyltransferase
46	82	51	49	b1336	CDS	abgT		p-aminobenzoyl glutamate:H(+) symporter
55	111	72	67	b1337	CDS	abgB		p-aminobenzoyl-glutamate hydrolase subunit B
22	43	27	28	b1338	CDS	abgA		p-aminobenzoyl-glutamate hydrolase subunit A
77	184	69	62	b1339	CDS	abgR		putative LysR-type DNA-binding transcriptional regulator AbgR
112	256	209	182	b1340	CDS	smrA		DNA endonuclease SmrA
982	2878	2381	2115	b1341	CDS	dgcM	2.7.7.65	diguanylate cyclase DgcM
4	2	1	1	b4773	CDS	ynaN		protein YnaN
340	498	251	198	b1342	CDS	zntB		Zn(2(+)):H(+) symporter
135	279	153	137	b4743	CDS	ynaL		protein YnaL
512	1062	1004	768	b1343	CDS	dbpA		ATP-dependent RNA helicase DbpA
537	1413	829	700	b1344	CDS	ttcA		tRNA cytosine(32) 2-sulfurtransferase TtcA
71	95	87	65	b1345	CDS	intR		Rac prophage; putative integrase
3	2	1	1	b1346	CDS	xisR		Rac prophage; excisionase
0	0	1	2	b1347	CDS	rcbA		Rac prophage; double-strand break reduction protein
1	1	1	0	b1348	CDS	ralR		Rac prophage; endodeoxyribonuclease toxin RalR
18	66	19	14	b1349	CDS	recT		Rac prophage; recombinase RecT
67	129	66	48	b1350	CDS	recE		Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific
4	16	2	2	b1351	CDS	racC		Rac prophage; protein RacC
1	0	0	0	b4526	CDS	ydaE		Rac prophage; zinc-binding protein
2	5	0	0	b1352	CDS	kilR		Rac prophage; inhibitor of FtsZ
14	11	8	8	b1353	CDS	sieB		Rac prophage; phage superinfection exclusion protein
1	2	4	4	b4527	CDS	ydaF		Rac prophage; DUF1391 domain-containing protein YdaF
18	48	12	9	b1355	CDS	ydaG		Rac prophage; uncharacterized protein YdaG
1166	1888	920	970	b1356	CDS	racR		Rac prophage; DNA-binding transcriptional repressor RacR
22	30	31	19	b1357	CDS	ydaS		Rac prophage; toxin YdaS
12	19	18	15	b1358	CDS	ydaT		Rac prophage; protein YdaT
34	96	60	42	b1359	CDS	ydaU		Rac prophage; DUF1376 domain-containing protein YdaU
13	47	30	17	b1360	CDS	ydaV		Rac prophage; putative ATP-binding protein YdaV
25	62	31	35	b1361	CDS	ydaW		Rac prophage; putative uncharacterized protein YdaW
13.7669	29.7253	8.71908	8.50646	b4528	CDS	rzoR		Rac prophage; putative prophage outer membrane lipoprotein RzoR
336	402	157	205	b1363	CDS	trkG		Rac prophage; K(+) transporter TrkG
12	23	10	8	b1365	CDS	ynaK		Rac prophage; ParB-like nuclease domain-containing protein YnaK
6	17	13	8	b1366	CDS	ydaY		Rac prophage; putative uncharacterized protein YdaY
42	58	39.4314	25	b1368	CDS	ynaA		Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA
2	6	3.56863	8	b4570	CDS	lomR		Rac prophage; protein LomR_1
25.0386	78.2382	34.5946	30.1342	b1370	CDS	insH5		Rac prophage; IS5 transposase and trans-activator
73.6957	140.195	67.5208	54	b1372	CDS	stfR		Rac prophage; putative prophage side tail fiber protein StfR
11.789	0	36.1387	34.1348	b1373	CDS	tfaR		Rac prophage; putative tail fiber assembly protein TfaR
202.367	537.39	267.944	282.514	b1374	CDS	pinR		Rac prophage; putative site-specific recombinase
959.893	2780.13	1160.6	1282.55	b1375	CDS	ynaE		Rac prophage; uncharacterized protein YnaE
744.8	505.258	287.285	511.178	b4744	CDS	ynaM		Rac prophage; protein YnaM
375	697	199	183	b1376	CDS	uspF		nucleotide binding filament protein
30	55	29	17	b1377	CDS	ompN		outer membrane porin N
2075	4405	6276	5113	b1378	CDS	ydbK		putative pyruvate-flavodoxin oxidoreductase
323	685	326	306	b4529	CDS	ydbJ		DUF333 domain-containing protein YdbJ
351	670	335	299	b1379	CDS	hslJ		lipoprotein implicated in Novobiocin resistance
729	1842	983	875	b1380	CDS	ldhA	1.1.1.28	D-lactate dehydrogenase
306	721	400	360	b1381	CDS	ydbH		PF11739 family protein YdbH
21	29	15	13	b1382	CDS	ynbE		lipoprotein YnbE
88	165	88	74	b1383	CDS	ydbL		DUF1318 domain-containing protein YdbL
78	140	78	68	b1384	CDS	feaR		DNA-binding transcriptional activator FeaR
224	496	289	262	b1385	CDS	feaB	1.2.1.39	phenylacetaldehyde dehydrogenase
70	129	66	57	b1386	CDS	tynA	1.4.3.21	copper-containing amine oxidase
13	21	17	10	b1387	CDS	paaZ	1.2.1.91	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase
8	26	19	15	b1388	CDS	paaA	1.14.13.149	phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit
3	2	0	0	b1389	CDS	paaB	1.14.13.149	phenylacetyl-CoA 1,2-epoxidase subunit B
3	3	7	4	b1390	CDS	paaC	1.14.13.149	phenylacetyl-CoA 1,2-epoxidase, structural subunit
5	1	3	2	b1391	CDS	paaD		phenylacetate degradation protein
10	33	27	19	b1392	CDS	paaE	1.14.13.149	phenylacetyl-CoA 1,2-epoxidase, reductase subunit
5	5	9	12	b1393	CDS	paaF		putative 2,3-dehydroadipyl-CoA hydratase
7	16	17	21	b1394	CDS	paaG	5.3.3.18	putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)
15	25	68	45	b1395	CDS	paaH		3-hydroxyadipyl-CoA dehydrogenase
10	8	4	11	b1396	CDS	paaI		phenylacetyl-CoA thioesterase
65	164	135	115	b1397	CDS	paaJ	2.3.1.174	beta-ketoadipyl-CoA thiolase
84	264	201	157	b1398	CDS	paaK	6.2.1.30	phenylacetate-CoA ligase
194	352	206	182	b1399	CDS	paaX		DNA-binding transcriptional repressor PaaX
172	390	269	203	b1400	CDS	paaY		2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase
0	0	0	0	b4674	CDS	ynbG		uncharacterized protein YnbG
732	1728	530	525	b4492	CDS	ydbA		putative outer membrane protein, N-terminal fragment
103.047	228	115.167	102.04	b1402	CDS	insD2		IS2 insertion element protein InsB
58.9526	137.667	82.3333	72.4598	b1403	CDS	insC2		IS2 insertion element repressor InsA
179.673	342.053	158.831	116.612	b1404	CDS	insI2		IS30 transposase
265	653	434	352	b1406	CDS	pdxI	1.1.1.65	pyridoxine 4-dehydrogenase
47	125	64	53	b1407	CDS	ydbD		DUF2773 domain-containing protein YdbD
6	12	1	2	b1408	CDS	ynbA		CDP-alcohol phosphatidyltransferase domain-containing protein YnbA
1	0	2	1	b1409	CDS	ynbB		putative CDP-diglyceride synthase
35	50	37	30	b1410	CDS	ynbC		hydrolase/methyltransferase domain-containing protein YnbC
65	103	77	72	b1411	CDS	ynbD		phosphatase domain-containing protein YnbD
219	585	362	295	b1412	CDS	azoR	1.7.1.17	FMN dependent NADH:quinone oxidoreductase
1519	3355	2759	2371	b1413	CDS	hrpA		ATP-dependent RNA helicase HrpA
189	342	158	120	b1414	CDS	ydcF		DUF218 domain-containing protein YdcF
1250	2713	1875	1475	b1415	CDS	aldA	1.2.1.21	aldehyde dehydrogenase A
499	1198	492	403	b1418	CDS	cybB	1.10.3.17	superoxide oxidase
104	235	107	106	b1419	CDS	ydcA		protein YdcA
22	40	22	20	b4774	CDS	yncP		protein YncP
29.0886	61.3245	45.7775	54.2904	b4428	CDS	hokB		toxin HokB
92.9114	355.675	122.222	87.7096	b1420	CDS	mokB		putative regulatory protein MokB
171	445	382	343	b1421	CDS	trg		methyl-accepting chemotaxis protein Trg
641	1835	1310	989	b1422	CDS	ydcI		DNA-binding transcriptional dual regulator YdcI
118	261	198	155	b1423	CDS	ydcJ		DUF1338 domain-containing protein YdcJ
766	1854	1188	934	b1424	CDS	opgD		glucan biosynthesis protein D
112	298	135	99	b1426	CDS	ydcH		protein YdcH
253	348	175	174	b1427	CDS	rimL		ribosomal-protein-L12-serine N-acetyltransferase
244	538	326	288	b1428	CDS	ydcK		putative enzyme YdcK
139	291	144	130	b1429	CDS	tehA		tellurite resistance protein
445	1251	784	726	b1430	CDS	tehB	2.1.1.265	tellurite methyltransferase
1128	2569	1629	1488	b1431	CDS	ydcL		DUF3313 domain-containing lipoprotein YdcL
409	907	596	535	b1432	CDS	insQ		putative insertion element transposase InsQ
55	122	61	65	b1433	CDS	ydcO		putative transport protein YdcO
37	82	51	44	b1434	CDS	sutR		DNA-binding transcriptional dual regulator SutR
480	1068	713	443	b1435	CDS	rlhA		23S rRNA 5-hydroxycytidine C2501 synthase
24	54	33	28	b1436	CDS	yncJ		protein YncJ
21	60	23	16	b4532	CDS	hicA		toxin of the HicA-HicB toxin-antitoxin system
64	199	83	75	b1438	CDS	hicB		antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB
203	333	124	125	b1439	CDS	ydcR		fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
245	495	418	378	b1440	CDS	ydcS		putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase
96	214	229	193	b1441	CDS	ydcT		putative ABC transporter ATP-binding protein YdcT
