id	type	gene	version	description
PaeAG1_01063	CDS			transporter
PaeAG1_01064	CDS	exaC_1		NAD+ dependent aldehyde dehydrogenase ExaC
PaeAG1_01065	CDS			transcriptional regulator
PaeAG1_01066	CDS	mpl		UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase
PaeAG1_01067	CDS			aromatic acid decarboxylase
PaeAG1_01068	CDS			hypothetical protein
PaeAG1_01069	CDS			hypothetical protein
PaeAG1_01070	CDS			hypothetical protein
PaeAG1_01071	CDS		4.2.1.17	putative enoyl-CoA hydratase 1
PaeAG1_01072	CDS	cidA_1		Holin-like protein CidA
PaeAG1_01073	CDS	yohK_1		Inner membrane protein YohK
PaeAG1_01074	CDS			hypothetical protein
PaeAG1_01075	CDS			hypothetical protein
PaeAG1_01076	CDS		3.2.2.-	3-methyladenine DNA glycosylase
PaeAG1_01077	CDS			hypothetical protein
PaeAG1_01078	CDS			hydrolase
PaeAG1_01079	CDS	proA	1.2.1.41	gamma-glutamyl phosphate reductase
PaeAG1_01080	CDS	nadD_1	2.7.7.18	nicotinic acid mononucleotide adenylyltransferase
PaeAG1_01081	CDS	rsfS		Ribosomal silencing factor RsfS
PaeAG1_01082	CDS			23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
PaeAG1_01083	CDS	pbpA		penicillin-binding protein 2
PaeAG1_01084	CDS	rodA		rod shape-determining protein
PaeAG1_01085	CDS	sltB1		soluble lytic transglycosylase B
PaeAG1_01086	CDS	rlpA	4.2.2.-	Endolytic peptidoglycan transglycosylase RlpA
PaeAG1_01087	CDS	dacC		D-ala-D-ala-carboxypeptidase
PaeAG1_01088	CDS			hypothetical protein
PaeAG1_01089	CDS	lipB	2.3.1.181	lipoate-protein ligase B
PaeAG1_01090	CDS	lis	2.8.1.8	lipoyl synthase
PaeAG1_01091	CDS			transcriptional regulator
PaeAG1_01092	CDS			epoxide hydrolase
PaeAG1_01093	CDS			transglycosylase
PaeAG1_01094	CDS			hypothetical protein
PaeAG1_01095	CDS			hypothetical protein
PaeAG1_01096	CDS	holA		DNA polymerase III subunit delta
PaeAG1_01097	CDS	lptE		LPS-assembly lipoprotein LptE
PaeAG1_01098	CDS	leuS	6.1.1.4	leucine--tRNA ligase
PaeAG1_01099	CDS			hypothetical protein
PaeAG1_01100	CDS			hypothetical protein
PaeAG1_01101	CDS	lnt		apolipoprotein N-acyltransferase
PaeAG1_01102	CDS	corC		Magnesium and cobalt efflux protein CorC
PaeAG1_01103	CDS			metalloprotease
PaeAG1_01104	CDS	ybeZ		PhoH-like protein
PaeAG1_01105	CDS			(dimethylallyl)adenosine tRNA methylthiotransferase
PaeAG1_01106	CDS			hypothetical protein
PaeAG1_01107	CDS			hypothetical protein
PaeAG1_01108	CDS	hemL	5.4.3.8	glutamate-1-semialdehyde aminotransferase
PaeAG1_01109	CDS	thiE_1	2.5.1.3	thiamine-phosphate pyrophosphorylase
PaeAG1_01110	CDS	thiD	2.7.4.7	phosphomethylpyrimidine kinase
PaeAG1_01111	CDS	ladS		lost adherence sensor LadS
PaeAG1_01112	CDS			transcriptional regulator
PaeAG1_01113	CDS			acyl-CoA dehydrogenase
PaeAG1_01114	CDS		3.1.2.-	Putative esterase
PaeAG1_01115	CDS	amn	3.2.2.4	AMP nucleosidase
PaeAG1_01116	CDS			hypothetical protein
PaeAG1_01117	CDS			hypothetical protein
PaeAG1_01118	CDS			pseudouridine synthase
PaeAG1_01119	CDS			hypothetical protein
PaeAG1_01120	CDS			hypothetical protein
PaeAG1_01121	CDS			transcriptional regulator
PaeAG1_01122	CDS			hypothetical protein
PaeAG1_01123	CDS			transporter
PaeAG1_01124	CDS			hypothetical protein
PaeAG1_01125	CDS			ATP-dependent helicase
PaeAG1_01126	CDS			ATP-dependent helicase
PaeAG1_01127	CDS			hypothetical protein
PaeAG1_01128	CDS			hypothetical protein
PaeAG1_01129	CDS			hypothetical protein
PaeAG1_01130	CDS			hypothetical protein
PaeAG1_01131	CDS			hypothetical protein
PaeAG1_01132	CDS			hypothetical protein
PaeAG1_01133	CDS			hypothetical protein
PaeAG1_01134	CDS			hypothetical protein
PaeAG1_01135	CDS			hypothetical protein
PaeAG1_01136	CDS			hypothetical protein
PaeAG1_01137	CDS			hypothetical protein
PaeAG1_01138	CDS	mvaT_1		transcriptional regulator MvaT
PaeAG1_01139	CDS	opdT_1		tyrosine porin OpdT
PaeAG1_01140	CDS			ABC transporter
PaeAG1_01141	CDS	rnlB		Antitoxin RnlB
PaeAG1_01142	CDS	rnlA	3.1.-.-	mRNA endoribonuclease toxin LS
PaeAG1_01143	CDS			hypothetical protein
PaeAG1_01144	CDS			hypothetical protein
PaeAG1_01145	CDS			hypothetical protein
PaeAG1_01146	CDS			hypothetical protein
PaeAG1_01147	CDS	bcr		Bicyclomycin resistance protein
PaeAG1_01148	CDS			hypothetical protein
PaeAG1_01149	CDS	ant1	2.7.7.47	Streptomycin 3''-adenylyltransferase
PaeAG1_01150	CDS	aph_2		aminoglycoside 3-N-acetyltransferase
PaeAG1_01151	CDS			hypothetical protein
PaeAG1_01152	CDS			hypothetical protein
PaeAG1_01153	CDS			hypothetical protein
PaeAG1_01154	CDS	umuC_1		Protein UmuC
PaeAG1_01155	CDS			hypothetical protein
PaeAG1_01156	CDS			hypothetical protein
PaeAG1_01157	CDS			hypothetical protein
PaeAG1_01158	CDS			hypothetical protein
PaeAG1_01159	CDS			hypothetical protein
PaeAG1_01160	CDS			sulfate transporter
PaeAG1_01161	CDS			hypothetical protein
PaeAG1_01162	CDS			transporter
PaeAG1_01163	CDS	ubiE_1	2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PaeAG1_01164	CDS	umuC_2		Protein UmuC
PaeAG1_01165	CDS			hypothetical protein
PaeAG1_01166	CDS			IS3 family transposase IS222
PaeAG1_01167	CDS			IS3 family transposase IS222
PaeAG1_01168	CDS			ATP-dependent helicase
PaeAG1_01169	CDS			hypothetical protein
PaeAG1_01170	CDS			hypothetical protein
PaeAG1_01171	CDS			hypothetical protein
PaeAG1_01172	CDS			hypothetical protein
PaeAG1_01173	CDS			hypothetical protein
PaeAG1_01174	CDS			hypothetical protein
PaeAG1_01175	CDS			hypothetical protein
PaeAG1_01176	CDS			hypothetical protein
PaeAG1_01177	CDS			hypothetical protein
PaeAG1_01178	CDS			IS66 family transposase ISSal1
PaeAG1_01179	CDS			hypothetical protein
PaeAG1_01180	CDS			hypothetical protein
PaeAG1_01181	CDS			transcriptional regulator
PaeAG1_01182	CDS			2-hydroxyacid dehydrogenase
PaeAG1_01183	CDS	phnE_1		phosphonate transporter PhnE
PaeAG1_01184	CDS			phosphonate ABC transporter substrate-binding protein
PaeAG1_01185	CDS	phnC_1		phosphonate ABC transporter ATP-binding protein
PaeAG1_01186	CDS			hypothetical protein
PaeAG1_01187	CDS			hypothetical protein
PaeAG1_01188	CDS			hypothetical protein
PaeAG1_01189	CDS			hypothetical protein
PaeAG1_01190	CDS			hypothetical protein
PaeAG1_01191	CDS			hypothetical protein
PaeAG1_01192	CDS			hypothetical protein
PaeAG1_01193	CDS			hypothetical protein
PaeAG1_01194	CDS			short-chain dehydrogenase
PaeAG1_01195	CDS			hypothetical protein
PaeAG1_01196	CDS			hypothetical protein
PaeAG1_01197	CDS	msuD_1		methanesulfonate monooxygenase
PaeAG1_01198	CDS	sttH_1	3.5.2.19	Streptothricin hydrolase
PaeAG1_01199	CDS			hypothetical protein
PaeAG1_01200	CDS			hypothetical protein
PaeAG1_01201	CDS			ATP-dependent RNA helicase
PaeAG1_01202	CDS			hypothetical protein
PaeAG1_01203	CDS	rocA1		two-component response regulator RocA1
PaeAG1_01204	CDS	rocR		DNA-binding response regulator RocR
PaeAG1_01205	CDS	rocS1		two-component sensor
PaeAG1_01206	CDS			hypothetical protein
PaeAG1_01207	CDS			hypothetical protein
PaeAG1_01208	CDS			hypothetical protein
PaeAG1_01209	CDS	tesB		acyl-CoA thioesterase II
PaeAG1_01210	CDS			phosphoglycolate phosphatase
PaeAG1_01211	CDS			DNA binding protein
PaeAG1_01212	CDS			hypothetical protein
PaeAG1_01213	CDS			taurine-binding protein
PaeAG1_01214	CDS			taurine ABC transporter ATP-binding protein
PaeAG1_01215	CDS			taurine ABC transporter permease
PaeAG1_01216	CDS	tauD_3	1.14.11.17	taurine dioxygenase
PaeAG1_01217	CDS			hypothetical protein
PaeAG1_01218	CDS			choline transporter
PaeAG1_01219	CDS			transcriptional regulator
PaeAG1_01220	CDS			TonB-dependent receptor
PaeAG1_01221	CDS	cioA		cyanide insensitive terminal oxidase
PaeAG1_01222	CDS	cioB		cyanide insensitive terminal oxidase
PaeAG1_01223	CDS			hypothetical protein
PaeAG1_01224	CDS			transcriptional regulator
PaeAG1_01225	CDS			major facilitator superfamily transporter
PaeAG1_01226	CDS			acyl-CoA thiolase
PaeAG1_01227	CDS			long-chain-fatty-acid--CoA ligase
PaeAG1_01228	CDS	gbt_1		glycine betaine transmethylase
PaeAG1_01229	CDS			hypothetical protein
PaeAG1_01230	CDS			transcriptional regulator
PaeAG1_01231	CDS			metal transporting P-type ATPase
PaeAG1_01232	CDS			hypothetical protein
PaeAG1_01233	CDS	moaC		molybdenum cofactor biosynthesis protein MoaC
PaeAG1_01234	CDS	moaD		molybdopterin converting factor small subunit
PaeAG1_01235	CDS	moaE		molybdopterin converting factor large subunit
PaeAG1_01236	CDS	moaB1		molybdopterin biosynthesis protein B
PaeAG1_01237	CDS	moeA1		molybdenum cofactor biosynthesis protein A
PaeAG1_01238	CDS			protease
PaeAG1_01239	CDS			hypothetical protein
PaeAG1_01240	CDS			hypothetical protein
PaeAG1_01241	CDS	eddA		extracelullar DNA degradation protein EddA
PaeAG1_01242	CDS	eddB		extracelullar DNA degradation protein EddB
PaeAG1_01243	CDS			hypothetical protein
PaeAG1_01244	CDS			hypothetical protein
PaeAG1_01245	CDS			hypothetical protein
PaeAG1_01246	CDS			hypothetical protein
PaeAG1_01247	CDS			hypothetical protein
PaeAG1_01248	CDS	prfC		peptide chain release factor 3
PaeAG1_01249	CDS	ivy_1		Inhibitor of vertebrate lysozyme
PaeAG1_01250	CDS	fecA		Fe(III) dicitrate transporter FecA
PaeAG1_01251	CDS			transmembrane sensor
PaeAG1_01252	CDS			RNA polymerase sigma factor
PaeAG1_01253	CDS			transcriptional regulator
PaeAG1_01254	CDS	eamA_1		putative amino-acid metabolite efflux pump
PaeAG1_01255	CDS			2-hydroxyacid dehydrogenase
PaeAG1_01256	CDS			transcriptional regulator
PaeAG1_01257	CDS	oprM_3		outer membrane protein OprM
PaeAG1_01258	CDS	aaeB_1		p-hydroxybenzoic acid efflux pump subunit AaeB
PaeAG1_01259	CDS	aaeX_1		Protein AaeX
PaeAG1_01260	CDS			multidrug resistance protein
PaeAG1_01261	CDS			ABC transporter ATP-binding protein
PaeAG1_01262	CDS			ABC transporter permease
PaeAG1_01263	CDS			ABC transporter
PaeAG1_01264	CDS			ABC transporter permease
PaeAG1_01265	CDS	nhaP		Na+/H+ antiporter NhaP
PaeAG1_01266	CDS			hypothetical protein
PaeAG1_01267	CDS			hypothetical protein
PaeAG1_01268	CDS			hypothetical protein
PaeAG1_01269	CDS	tpbA		protein tyrosine phosphatase TpbA
PaeAG1_01270	CDS			hypothetical protein
PaeAG1_01271	CDS			short-chain dehydrogenase
PaeAG1_01272	CDS			hypothetical protein
PaeAG1_01273	CDS			hypothetical protein
PaeAG1_01274	CDS			hypothetical protein
PaeAG1_01275	CDS	narL		transcriptional regulator NarL
PaeAG1_01276	CDS	narX		two-component sensor NarX
PaeAG1_01277	tRNA			tRNA-Arg
PaeAG1_01278	CDS	narK2		nitrite extrusion protein 2
PaeAG1_01279	CDS	narG		respiratory nitrate reductase subunit alpha
PaeAG1_01280	CDS	narH		respiratory nitrate reductase subunit beta
PaeAG1_01281	CDS	narJ		respiratory nitrate reductase subunit delta
PaeAG1_01282	CDS	narI		respiratory nitrate reductase subunit gamma
PaeAG1_01283	CDS			PpiC-type peptidyl-prolyl cis-trans isomerase
PaeAG1_01284	CDS	moaA1		molybdenum cofactor biosynthesis protein A
PaeAG1_01285	CDS			amino acid binding protein
PaeAG1_01286	CDS	dauR		transcriptional regulator
PaeAG1_01287	CDS	dauA		FAD-dependent catabolic D-arginine dehydrogenase DauA
PaeAG1_01288	CDS	dauB		NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB
PaeAG1_01289	CDS	rhlB_1	3.6.4.13	ATP-dependent RNA helicase RhlB
PaeAG1_01290	CDS			acyl-CoA synthetase
PaeAG1_01291	CDS			carboxylesterase
PaeAG1_01292	CDS			amino acid-binding protein
PaeAG1_01293	CDS	pcs		phosphatidylcholine synthase
PaeAG1_01294	CDS			hypothetical protein
PaeAG1_01295	CDS			hypothetical protein
PaeAG1_01296	CDS			GIY-YIG nuclease superfamily protein
PaeAG1_01297	CDS			transferase
PaeAG1_01298	CDS			hypothetical protein
PaeAG1_01299	CDS			hypothetical protein
PaeAG1_01300	CDS			hypothetical protein
PaeAG1_01301	CDS			nucleoid-associated protein NdpA
PaeAG1_01302	CDS			hypothetical protein
PaeAG1_01303	CDS			hypothetical protein
PaeAG1_01304	CDS			hypothetical protein
PaeAG1_01305	CDS			transcriptional regulator
PaeAG1_01306	CDS	maiA_1		maleylacetoacetate isomerase
PaeAG1_01307	CDS			hypothetical protein
PaeAG1_01308	CDS			chaperone
PaeAG1_01309	CDS	exoS		exoenzyme S
PaeAG1_01310	CDS			SAM-dependent methyltransferase
PaeAG1_01311	CDS			sodium:sulfate symporter
PaeAG1_01312	CDS			ABC transporter ATP-binding protein
PaeAG1_01313	CDS			ABC transporter permease
PaeAG1_01314	CDS			hypothetical protein
PaeAG1_01315	CDS			hypothetical protein
PaeAG1_01316	CDS			hypothetical protein
PaeAG1_01317	CDS	valS	6.1.1.9	valine--tRNA ligase
PaeAG1_01318	CDS			hypothetical protein
PaeAG1_01319	CDS	holC		DNA polymerase III subunit chi
PaeAG1_01320	CDS	pepA	3.4.11.1	leucyl aminopeptidase
PaeAG1_01321	CDS			transcriptional regulator
PaeAG1_01322	CDS			hypothetical protein
PaeAG1_01323	CDS	lptF_1		Lipopolysaccharide export system permease protein LptF
PaeAG1_01324	CDS	lptG		Lipopolysaccharide export system permease protein LptG
PaeAG1_01325	CDS			hypothetical protein
PaeAG1_01326	CDS	arr_1		aminoglycoside response regulator
PaeAG1_01327	tRNA			tRNA-Leu
PaeAG1_01328	CDS	queA	5.-.-.-	S-adenosylmethionine--tRNA ribosyltransferase-isomerase
PaeAG1_01329	CDS	tgt	2.4.2.29	queuine tRNA-ribosyltransferase
PaeAG1_01330	CDS			preprotein translocase subunit YajC
PaeAG1_01331	CDS	secD		preprotein translocase subunit SecD
PaeAG1_01332	CDS	secF		preprotein translocase subunit SecF
PaeAG1_01333	CDS			hypothetical protein
PaeAG1_01334	CDS			type III secretion system regulator SuhB
PaeAG1_01335	CDS			methyltransferase
PaeAG1_01336	CDS	cysE		O-acetylserine synthase
PaeAG1_01337	CDS	iscR		HTH-type transcriptional regulator
PaeAG1_01338	CDS	iscS	2.8.1.7	cysteine desulfurase
PaeAG1_01339	CDS	iscU		scaffold protein
PaeAG1_01340	CDS	iscA		iron-binding protein IscA
PaeAG1_01341	CDS	hscB		co-chaperone HscB
PaeAG1_01342	CDS	hscA		chaperone protein HscA
PaeAG1_01343	CDS	fdx2		(2Fe-2S) ferredoxin
PaeAG1_01344	CDS	iscX		Protein IscX
PaeAG1_01345	CDS	ndk	2.7.4.6	nucleoside diphosphate kinase
PaeAG1_01346	CDS			23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
PaeAG1_01347	CDS	pilF		type 4 fimbrial biogenesis protein PilF
PaeAG1_01348	CDS	rodZ		Cytoskeleton protein RodZ
PaeAG1_01349	CDS	gcpE	1.17.7.1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PaeAG1_01350	CDS	hisS	6.1.1.21	histidine--tRNA ligase
PaeAG1_01351	CDS			hypothetical protein
PaeAG1_01352	CDS			outer membrane protein assembly factor BamB
PaeAG1_01353	CDS			GTPase Der
PaeAG1_01354	CDS			aminotransferase
PaeAG1_01355	CDS	yafV	3.5.1.3	Omega-amidase YafV
PaeAG1_01356	CDS			hypothetical protein
PaeAG1_01357	CDS			oxidoreductase
PaeAG1_01358	CDS			hypothetical protein
PaeAG1_01359	CDS			hypothetical protein
PaeAG1_01360	CDS	leuA	2.3.3.13	2-isopropylmalate synthase
PaeAG1_01361	CDS			hypothetical protein
PaeAG1_01362	CDS	oprC		copper transport outer membrane porin OprC
PaeAG1_01363	CDS			oxidoreductase
PaeAG1_01364	CDS			hypothetical protein
PaeAG1_01365	CDS			hypothetical protein
PaeAG1_01366	CDS			hypothetical protein
PaeAG1_01367	CDS			hypothetical protein
PaeAG1_01368	CDS			hypothetical protein
PaeAG1_01369	CDS	rutB_1	3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
PaeAG1_01370	CDS			transcriptional regulator
PaeAG1_01371	CDS	ddpX	3.4.13.22	D-alanyl-D-alanine dipeptidase
PaeAG1_01372	CDS			transporter
PaeAG1_01373	CDS			hypothetical protein
PaeAG1_01374	CDS			C4-dicarboxylate-binding protein
PaeAG1_01375	CDS			transcriptional regulator
PaeAG1_01376	CDS	xseA	3.1.11.6	exodeoxyribonuclease VII large subunit
PaeAG1_01377	CDS			transcriptional regulator
PaeAG1_01378	CDS			hypothetical protein
PaeAG1_01379	CDS			acetylpolyamine aminohydrolase
PaeAG1_01380	CDS			hypothetical protein
PaeAG1_01381	CDS			hypothetical protein
PaeAG1_01382	CDS			transcriptional regulator
PaeAG1_01383	CDS	guaB_2	1.1.1.205	inosine 5'-monophosphate dehydrogenase
PaeAG1_01384	CDS	guaA	6.3.5.2	GMP synthase
PaeAG1_01385	CDS	intS_1		Prophage integrase IntS
PaeAG1_01386	CDS			hypothetical protein
PaeAG1_01387	CDS			hypothetical protein
PaeAG1_01388	CDS			hypothetical protein
PaeAG1_01389	CDS			hypothetical protein
PaeAG1_01390	CDS			hypothetical protein
PaeAG1_01391	CDS			hypothetical protein
PaeAG1_01392	CDS			hypothetical protein
PaeAG1_01393	CDS			hypothetical protein
PaeAG1_01394	CDS			hypothetical protein
PaeAG1_01395	CDS			hypothetical protein
PaeAG1_01396	CDS			hypothetical protein
PaeAG1_01397	CDS			hypothetical protein
PaeAG1_01398	CDS			hypothetical protein
PaeAG1_01399	CDS	radC_1		DNA repair protein RadC
PaeAG1_01400	CDS			hypothetical protein
PaeAG1_01401	CDS			hypothetical protein
PaeAG1_01402	CDS	noc_1		Nucleoid occlusion protein
PaeAG1_01403	CDS			hypothetical protein
PaeAG1_01404	CDS			hypothetical protein
PaeAG1_01405	CDS			hypothetical protein
PaeAG1_01406	CDS			hypothetical protein
PaeAG1_01407	CDS			hypothetical protein
PaeAG1_01408	CDS			hypothetical protein
PaeAG1_01409	CDS			hypothetical protein
PaeAG1_01410	CDS			hypothetical protein
PaeAG1_01411	CDS			hypothetical protein
PaeAG1_01412	CDS	soj_1	3.6.-.-	Chromosome-partitioning ATPase Soj
PaeAG1_01413	CDS			hypothetical protein
PaeAG1_01414	CDS			hypothetical protein
PaeAG1_01415	CDS			hypothetical protein
PaeAG1_01416	CDS			hypothetical protein
PaeAG1_01417	CDS			transcriptional regulator
PaeAG1_01418	CDS			transcriptional regulator
PaeAG1_01419	CDS		4.2.1.17	enoyl-CoA hydratase
PaeAG1_01420	CDS	gloB_1	3.1.2.6	Hydroxyacylglutathione hydrolase
PaeAG1_01421	CDS			IS66 family transposase ISSal1
PaeAG1_01422	CDS			hypothetical protein
PaeAG1_01423	CDS			hypothetical protein
PaeAG1_01424	CDS			transcriptional regulator
PaeAG1_01425	CDS			short-chain dehydrogenase
PaeAG1_01426	CDS	nahD	5.99.1.4	2-hydroxychromene-2-carboxylate isomerase
PaeAG1_01427	CDS			epoxide hydrolase
PaeAG1_01428	CDS			transcriptional regulator
PaeAG1_01429	CDS			hypothetical protein
PaeAG1_01430	CDS	traG_1		Conjugal transfer protein TraG
PaeAG1_01431	CDS			hypothetical protein
PaeAG1_01432	CDS	tadA_1		ATPase TadA
PaeAG1_01433	CDS			hypothetical protein
PaeAG1_01434	CDS			hypothetical protein
PaeAG1_01435	CDS	virB4_1		Type IV secretion system protein virB4
PaeAG1_01436	CDS			hypothetical protein
PaeAG1_01437	CDS			hypothetical protein
PaeAG1_01438	CDS			hypothetical protein
PaeAG1_01439	CDS			hypothetical protein
PaeAG1_01440	CDS			hypothetical protein
PaeAG1_01441	CDS			hypothetical protein
PaeAG1_01442	CDS			hypothetical protein
PaeAG1_01443	CDS			metallo-oxidoreductase
PaeAG1_01444	CDS	tadA_2	3.5.4.33	tRNA-specific adenosine deaminase
PaeAG1_01445	CDS			aromatic amino acid transporter
PaeAG1_01446	CDS			hypothetical protein
PaeAG1_01447	CDS			membrane-bound lytic murein transglycosylase F
PaeAG1_01448	CDS	purL	6.3.5.3	phosphoribosylformylglycinamidine synthase
PaeAG1_01449	CDS			hypothetical protein
PaeAG1_01450	CDS			GTP cyclohydrolase 1 type 2
PaeAG1_01451	CDS			N-acetyl-D-glucosamine phosphotransferase system transporter
PaeAG1_01452	CDS			N-acetyl-D-glucosamine phosphotransferase system transporter
PaeAG1_01453	CDS			aminotransferase
PaeAG1_01454	CDS			N-acetylglucosamine-6-phosphate deacetylase
PaeAG1_01455	CDS			transcriptional regulator
PaeAG1_01456	CDS			hypothetical protein
PaeAG1_01457	CDS	nudC_1	3.6.1.22	NADH pyrophosphatase
PaeAG1_01458	CDS	nudL	3.6.1.-	putative Nudix hydrolase NudL
PaeAG1_01459	CDS	yrdA_2		Protein YrdA
PaeAG1_01460	CDS			hypothetical protein
PaeAG1_01461	CDS	purT		phosphoribosylglycinamide formyltransferase
PaeAG1_01462	CDS			hypothetical protein
PaeAG1_01463	CDS			major facilitator superfamily transporter
PaeAG1_01464	CDS			hypothetical protein
PaeAG1_01465	CDS	ypjD		Inner membrane protein YpjD
PaeAG1_01466	CDS	ffh		signal recognition particle protein Ffh
PaeAG1_01467	CDS	rpsP		30S ribosomal protein S16
PaeAG1_01468	CDS	rimM		ribosome maturation factor RimM
PaeAG1_01469	CDS	trmD		tRNA (guanine-N(1)-)-methyltransferase
PaeAG1_01470	CDS	rplS		50S ribosomal protein L19
PaeAG1_01471	CDS			acyl-CoA thioesterase
PaeAG1_01472	CDS			hypothetical protein
PaeAG1_01473	CDS			sodium/hydrogen antiporter
PaeAG1_01474	CDS	xerD_1		site-specific tyrosine recombinase XerD
PaeAG1_01475	CDS	dsbC		thiol:disulfide interchange protein DsbC
PaeAG1_01476	CDS			hypothetical protein
PaeAG1_01477	CDS	hom	1.1.1.3	homoserine dehydrogenase
PaeAG1_01478	CDS	thrC	4.2.3.1	threonine synthase
PaeAG1_01479	CDS			hypothetical protein
PaeAG1_01480	CDS			hypothetical protein
PaeAG1_01481	CDS	smtB	2.8.3.22	Succinyl-CoA--L-malate CoA-transferase beta subunit
PaeAG1_01482	CDS			hypothetical protein
PaeAG1_01483	CDS	ydjF		Phage shock protein A
PaeAG1_01484	CDS			hypothetical protein
PaeAG1_01485	CDS			hypothetical protein
PaeAG1_01486	CDS			hypothetical protein
PaeAG1_01487	CDS			hypothetical protein
PaeAG1_01488	CDS	yaeQ		putative protein YaeQ
PaeAG1_01489	CDS	recJ		single-stranded-DNA-specific exonuclease RecJ
PaeAG1_01490	CDS	lasB		elastase LasB
PaeAG1_01491	CDS			FMN oxidoreductase
PaeAG1_01492	CDS			hypothetical protein
PaeAG1_01493	CDS	nalC		transcriptional regulator
PaeAG1_01494	CDS			hypothetical protein
PaeAG1_01495	CDS			major facilitator superfamily transporter
PaeAG1_01496	CDS			FkbP-type peptidyl-prolyl cis-trans isomerase
PaeAG1_01497	CDS			hypothetical protein
PaeAG1_01498	CDS			hypothetical protein
PaeAG1_01499	CDS			two-component response regulator
PaeAG1_01500	CDS	spdH		spermidine dehydrogenase SpdH
PaeAG1_01501	CDS			hypothetical protein
PaeAG1_01502	CDS			transcriptional regulator
PaeAG1_01503	CDS			GMC-type oxidoreductase
PaeAG1_01504	CDS			major facilitator superfamily transporter
PaeAG1_01505	CDS	wspA		chemotaxis transducer
PaeAG1_01506	CDS			hypothetical protein
PaeAG1_01507	CDS	wspC		biofilm formation methyltransferase WspC
PaeAG1_01508	CDS			hypothetical protein
PaeAG1_01509	CDS	wspE		chemotaxis sensor/effector fusion protein
PaeAG1_01510	CDS	wspF	3.1.1.61	chemotaxis-specific methylesterase
PaeAG1_01511	CDS	cheB	3.1.1.61	Chemotaxis response regulator protein-glutamate methylesterase
PaeAG1_01512	CDS	prfB		peptide chain release factor 1
PaeAG1_01513	CDS	lysS	6.1.1.6	lysine--tRNA ligase
PaeAG1_01514	CDS			transcriptional regulator
PaeAG1_01515	CDS			hypothetical protein
PaeAG1_01516	CDS			hypothetical protein
PaeAG1_01517	CDS			hypothetical protein
PaeAG1_01518	CDS			hypothetical protein
PaeAG1_01519	CDS			hypothetical protein
PaeAG1_01520	CDS	ymdB	3.5.1.-	O-acetyl-ADP-ribose deacetylase
PaeAG1_01521	CDS	lptF_2		outer membrane porin F
PaeAG1_01522	CDS			hypothetical protein
PaeAG1_01523	CDS			metal-transporting P-type ATPase
PaeAG1_01524	CDS			transcriptional regulator
PaeAG1_01525	CDS			hypothetical protein
PaeAG1_01526	CDS	ppc	4.1.1.31	phosphoenolpyruvate carboxylase
PaeAG1_01527	CDS	adk	2.7.4.3	adenylate kinase
PaeAG1_01528	CDS	tsaB		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PaeAG1_01529	CDS			hypothetical protein
PaeAG1_01530	CDS			hypothetical protein
PaeAG1_01531	CDS	bcpA	2.7.8.23	Carboxyvinyl-carboxyphosphonate phosphorylmutase
PaeAG1_01532	CDS			hypothetical protein
PaeAG1_01533	CDS			ribosomal RNA small subunit methyltransferase J
PaeAG1_01534	CDS			hypothetical protein
PaeAG1_01535	CDS			transcriptional regulator
PaeAG1_01536	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PaeAG1_01537	CDS			resistance-nodulation-cell division (RND) efflux transporter
PaeAG1_01538	CDS			hypothetical protein
PaeAG1_01539	CDS			hypothetical protein
PaeAG1_01540	CDS	plsB	2.3.1.15	glycerol-3-phosphate acyltransferase
PaeAG1_01541	CDS			ABC transporter ATP-binding protein
PaeAG1_01542	CDS			ABC transporter permease
PaeAG1_01543	CDS			hypothetical protein
PaeAG1_01544	CDS			hypothetical protein
PaeAG1_01545	CDS	sufE		Cysteine desulfuration protein SufE
PaeAG1_01546	CDS			cysteine desulfurase
PaeAG1_01547	CDS	dapD		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PaeAG1_01548	CDS			leucine export protein LeuE
PaeAG1_01549	CDS	yffB		Protein YffB
PaeAG1_01550	CDS			hypothetical protein
PaeAG1_01551	CDS			hypothetical protein
PaeAG1_01552	CDS			hypothetical protein
PaeAG1_01553	CDS			sodium/hydrogen antiporter
PaeAG1_01554	CDS			succinyldiaminopimelate transaminase
PaeAG1_01555	CDS	glnD	2.7.7.59	bifunctional uridylyltransferase/uridylyl-removing protein
PaeAG1_01556	CDS	map	3.4.11.18	methionine aminopeptidase
PaeAG1_01557	CDS	rpsB		30S ribosomal protein S2
PaeAG1_01558	CDS	tsf		elongation factor Ts
PaeAG1_01559	CDS	pyrH	2.7.4.22	uridylate kinase
PaeAG1_01560	CDS	frr		ribosome recycling factor
PaeAG1_01561	CDS	uppS		ditrans,polycis-undecaprenyl-diphosphate synthase
