CRTL1	CRTL2	T1	T2	id	type	name	version	description
1088	2224	1270	1126	b0805	CDS	fiu		iron catecholate outer membrane transporter Fiu
68	177	99	89	b0806	CDS	mcbA		DUF1471 domain-containing protein McbA
126	196	177	125	b0807	CDS	rlmF	2.1.1.181	23S rRNA m(6)A1618 methyltransferase
372	682	375	329	b0808	CDS	ybiO		moderate conductance mechanosensitive channel YbiO
394	1048	933	709	b0809	CDS	glnQ	7.4.2.1	L-glutamine ABC transporter ATP binding subunit
314	746	522	435	b0810	CDS	glnP	7.4.2.1	L-glutamine ABC transporter membrane subunit
2117	4401	2739	2867	b0811	CDS	glnH	7.4.2.1	L-glutamine ABC transporter periplasmic binding protein
14346	31796	15387	14099	b0812	CDS	dps		DNA protection during starvation protein
96	144	96	78	b0813	CDS	rhtA		L-threonine/L-homoserine exporter
332	172	217	310	b4736	CDS	yliM		protein YliM
15634	37798	18584	17245	b0814	CDS	ompX		outer membrane protein X
428	895	732	644	b0815	CDS	opgE		phosphoethanolamine transferase
2116	2987	1250	1010	b4705	CDS	mntS		small protein MntS
179	278	156	111	b0817	CDS	mntR		DNA-binding transcriptional dual regulator MntR
179	281	309	253	b0818	CDS	ybiR		putative transporter YbiR
1276	2975	2022	1573	b0819	CDS	ldtB		L,D-transpeptidase LdtB
1406	3574	2768	2150	b0820	CDS	ybiT		putative ATP-binding protein YbiT
235	623	463	422	b0821	CDS	ybiU		DUF1479 domain-containing protein YbiU
254	506	308	270	b0822	CDS	ybiV	3.1.3.23	sugar phosphatase YbiV
66	116	67	86	b0823	CDS	ybiW		putative pyruvate formate lyase
6	22	9	8	b0824	CDS	ybiY		putative pyruvate formate-lyase activating enzyme YbiY
49	82	55	48	b0825	CDS	fsaA		fructose-6-phosphate aldolase 1
133	362	267	271	b0826	CDS	moeB	2.7.7.80	molybdopterin-synthase adenylyltransferase
325	586	630	499	b0827	CDS	moeA	2.10.1.1	molybdopterin molybdotransferase
703	1276	650	579	b0828	CDS	iaaA	3.4.19.5	isoaspartyl dipeptidase proenzyme
971	2157	1428	1168	b0829	CDS	gsiA	7.4.2.10	glutathione ABC transporter ATP binding subunit GsiA
1005	2389	1657	1441	b0830	CDS	gsiB	7.4.2.10	glutathione ABC transporter periplasmic binding protein
303	592	473	405	b0831	CDS	gsiC	7.4.2.10	glutathione ABC transporter membrane subunit GsiC
218	333	202	216	b0832	CDS	gsiD	7.4.2.10	glutathione ABC transporter membrane subunit GsiD
160	262	184	145	b0833	CDS	pdeI		putative c-di-GMP phosphodiesterase PdeI
118	198	121	72	b0834	CDS	dgcI		putative diguanylate cyclase DgcI
531	1431	987	636	b0835	CDS	rimO	2.8.4.4	ribosomal protein S12 methylthiotransferase RimO
452	971	304	293	b0836	CDS	bssR		regulator of biofilm formation
286	556	467	395	b0837	CDS	yliI		aldose sugar dehydrogenase YliI
870	1823	1142	1055	b0838	CDS	gstB		glutathione S-transferase GstB
1642	3248	1685	1769	b0839	CDS	dacC	3.4.16.4	D-alanyl-D-alanine carboxypeptidase DacC
280	574	259	212	b0840	CDS	deoR		DNA-binding transcriptional repressor DeoR
227	346	117	126	b0841	CDS	ybjG	3.6.1.27	undecaprenyl pyrophosphate phosphatase
150	281	126	81	b0842	CDS	mdfA		multidrug efflux pump MdfA/Na(+):H(+) antiporter/K(+):H(+) antiporter
45	93	96	72	b0843	CDS	ybjH		uncharacterized protein YbjH
274	483	389	338	b0844	CDS	ybjI	3.1.3.102	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
170	283	252	216	b0845	CDS	ybjJ		inner membrane protein YbjJ
53	96	56	52	b0846	CDS	rcdA		DNA-binding transcriptional regulator RcdA
995	1938	847	878	b0847	CDS	ybjL		putative transport protein YbjL
46	37	9	21	b0848	CDS	ybjM		putative inner membrane protein
82	132	46	20	b0849	CDS	grxA		reduced glutaredoxin 1
36	69	42	32	b0850	CDS	ybjC		DUF1418 domain-containing protein YbjC
118	374	190	188	b0851	CDS	nfsA		NADPH-dependent nitroreductase NfsA
152	366	234	154	b0852	CDS	rimK		ribosomal protein S6 modification protein
279	594	264	221	b0853	CDS	ybjN		protein YbjN
1294	3343	1414	1279	b0854	CDS	potF	7.6.2.11	putrescine ABC transporter periplasmic binding protein
441	1174	656	502	b0855	CDS	potG	7.6.2.11	putrescine ABC transporter ATP binding subunit
307	544	307	256	b0856	CDS	potH	7.6.2.11	putrescine ABC transporter membrane subunit PotH
219	686	327	287	b0857	CDS	potI	7.6.2.11	putrescine ABC transporter membrane subunit PotI
92	141	84	69	b0858	CDS	ybjO		putative inner membrane protein
188	298	222	156	b0859	CDS	rlmC	2.1.1.189	23S rRNA m(5)U747 methyltransferase
944	2067	635	427	b0860	CDS	artJ	7.4.2.1	L-arginine ABC transporter periplasmic binding protein
385	777	609	521	b0861	CDS	artM	7.4.2.1	L-arginine ABC transporter membrane subunit ArtM
257	707	547	364	b0862	CDS	artQ	7.4.2.1	L-arginine ABC transporter membrane subunit ArtQ
659	1787	913	672	b0863	CDS	artI		putative ABC transporter periplasmic binding protein ArtI
558	1134	575	498	b0864	CDS	artP	7.4.2.1	L-arginine ABC transporter ATP binding subunit
444	986	456	428	b0865	CDS	ybjP		DUF3828 domain-containing lipoprotein YbjP
232	502	286	284	b0866	CDS	ybjQ		putative heavy metal binding protein YbjQ
234	614	445	390	b0867	CDS	amiD	3.5.1.28	N-acetylmuramoyl-L-alanine amidase D
205	355	327	321	b0868	CDS	ybjS		putative epimerase YbjS
385	683	776	651	b0869	CDS	ybjT		putative NAD(P)-dependent oxidoreductase YbjT
686	1450	1427	1179	b0870	CDS	ltaE	4.1.2.26	low-specificity L-threonine aldolase
2618	7059	6310	5731	b0871	CDS	poxB	1.2.5.1	pyruvate oxidase
9	20	10	14	b0872	CDS	hcr		NADH oxidoreductase
22	31	37	26	b0873	CDS	hcp	1.7.99.1	protein S-nitrosylase
165	319	219	159	b0874	CDS	lysO		L-lysine exporter
179	346	124	129	b0875	CDS	aqpZ		water channel AqpZ
221	441	256	211	b0876	CDS	ybjD		DUF2813 domain-containing protein YbjD
755	1564	469	450	b0877	CDS	ybjX		DUF535 domain-containing protein YbjX
296	783	468	361	b0878	CDS	macA		ABC-type tripartite efflux pump membrane fusion protein
392	864	633	570	b0879	CDS	macB		ABC-type tripartite efflux pump ATP binding/membrane subunit
761	1505	863	749	b0880	CDS	cspD		DNA replication inhibitor CspD
81	134	95	69	b4770	CDS	yljB		protein YljB
564	1171	771	720	b0881	CDS	clpS		specificity factor for ClpA-ClpP chaperone-protease complex
8235	23036	17251	16556	b0882	CDS	clpA	3.4.21.92	ATP-dependent Clp protease ATP-binding subunit ClpA
7.5	4	6.5	6.5	b0883	tRNA	serW		tRNA-Ser
3284	5116	2861	2476	b0884	CDS	infA		translation initiation factor IF-1
176	335	285	227	b0885	CDS	aat	2.3.2.6	leucyl/phenylalanyl-tRNA--protein transferase
412	754	733	612	b0886	CDS	cydC		glutathione/L-cysteine ABC exporter subunit CydC
400	681	674	561	b0887	CDS	cydD		glutathione/L-cysteine ABC exporter subunit CydD
1122	2631	2059	1682	b0888	CDS	trxB	1.8.1.9	thioredoxin reductase
4608	11197	4562	4003	b0889	CDS	lrp		DNA-binding transcriptional dual regulator Lrp
3233	6312	7979	6974	b0890	CDS	ftsK		cell division DNA translocase FtsK
808	1826	2231	2030	b0891	CDS	lolA		outer membrane lipoprotein carrier protein
625	1217	1957	1691	b0892	CDS	rarA		replication-associated recombination protein A
3955	9438	6887	6829	b0893	CDS	serS	6.1.1.11	serine--tRNA ligase
162	225	125	137	b0894	CDS	dmsA	1.8.5.3	dimethyl sulfoxide reductase subunit A
17	32	29	26	b0895	CDS	dmsB	1.8.5.3	dimethyl sulfoxide reductase subunit B
51	134	68	48	b0896	CDS	dmsC	1.8.5.3	dimethyl sulfoxide reductase subunit C
1485	3556	1729	1377	b0897	CDS	ycaC		putative hydrolase
110	250	102	65	b0898	CDS	ycaD		putative transporter YcaD
21	38	13	15	b0899	CDS	ycaM		putative transporter YcaM
36	64	13	11	b0900	CDS	ycaN		putative LysR-type transcriptional regulator YcaN
28	57	16	15	b0901	CDS	ycaK		putative NAD(P)H-dependent oxidoreductase YcaK
574	1215	790	796	b0902	CDS	pflA	1.97.1.4	pyruvate formate-lyase activating enzyme
15553	43453	34424	28278	b0903	CDS	pflB	2.3.1.54	pyruvate formate-lyase
1520	2652	1335	1445	b0904	CDS	focA		formate channel FocA
1270	3375	2716	2290	b0905	CDS	ycaO	3.6.1.8	ribosomal protein S12 methylthiotransferase accessory factor YcaO
324	618	330	273	b0906	CDS	ycaP		DUF421 domain-containing protein YcaP
9477	24911	17156	13472	b0907	CDS	serC	2.6.1.17	phosphoserine/phosphohydroxythreonine aminotransferase
4374	8138	7326	6509	b0908	CDS	aroA	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
105	214	173	145	b0909	CDS	ycaL		periplasmic protease YcaL
1722	4129	2315	1933	b0910	CDS	cmk	2.7.4.25	cytidylate kinase
43568	110881	67262	57731	b0911	CDS	rpsA		30S ribosomal subunit protein S1
1653	3812	2238	2131	b0912	CDS	ihfB		integration host factor subunit beta
133	237	159	149	b0913	CDS	ycaI		metallo-beta-lactamase superfamily inner membrane protein YcaI
1297	2900	2256	1706	b0914	CDS	msbA	7.5.2.6	ATP-binding lipopolysaccharide transport protein
377	793	967	802	b0915	CDS	lpxK	2.7.1.130	tetraacyldisaccharide 4'-kinase
136	282	241	203	b0916	CDS	ycaQ		interstrand DNA crosslink repair glycosylase
91	172	146	110	b0917	CDS	ycaR		UPF0434 family protein YcaR
695	1890	1377	1183	b0918	CDS	kdsB	2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
204	339	178	201	b0919	CDS	ycbJ		putative phosphotransferase YcbJ
64	131	60	57	b0920	CDS	elyC		envelope biogenesis factor
331	832	513	474	b0921	CDS	cmoM		tRNA cmo(5)U34 methyltransferase
510	892	773	598	b0922	CDS	mukF		chromosome partitioning protein MukF
362	807	818	769	b0923	CDS	mukE		chromosome partitioning protein MukE
2875	6959	6187	5146	b0924	CDS	mukB		chromosome partitioning protein MukB
1582	2944	2442	2170	b0925	CDS	ldtD		L,D-transpeptidase LdtD
1821	4305	2437	2251	b0926	CDS	mepK		peptidoglycan LD-endopeptidase
1788	4144	2708	2257	b0927	CDS	gloC	3.1.2.6	hydroxyacylglutathione hydrolase GloC
5190	13022	9424	8016	b0928	CDS	aspC	2.6.1.1	aspartate aminotransferase
20911.4	53540	39430	34604.5	b0929	CDS	ompF		outer membrane porin F
5868	13877	8517	6990	b0930	CDS	asnS	6.1.1.22	asparagine--tRNA ligase
2460	5281	2861	2124	b0931	CDS	pncB	6.3.4.21	nicotinate phosphoribosyltransferase
3446	7832	5398	4845	b0932	CDS	pepN	3.4.11.2	aminopeptidase N
55	81	94	74	b0933	CDS	ssuB	7.6.2.14	aliphatic sulfonate ABC transporter ATP binding subunit
10	3	16	7	b0934	CDS	ssuC	7.6.2.14	aliphatic sulfonate ABC transporter membrane subunit
13	32	32	16	b0935	CDS	ssuD	1.14.14.5	FMNH2-dependent alkanesulfonate monooxygenase
8	18	16	12	b0936	CDS	ssuA	7.6.2.14	aliphatic sulfonate ABC transporter periplasmic binding protein
11	19	11	10	b0937	CDS	ssuE	1.5.1.38	NADPH-dependent FMN reductase
29	35	12	13	b0938	CDS	elfA		putative laminin-binding fimbrial subunit
5	28	4	5	b0939	CDS	elfD		putative fimbrial chaperone ElfD
93	181	61	68	b0940	CDS	elfC		putative fimbrial usher protein ElfC
85	158	67	57	b0941	CDS	elfG		putative fimbrial-like adhesin protein
20	22	16	22	b0942	CDS	ycbU		putative fimbrial protein YcbU
21	37	17	18	b0943	CDS	ycbV		putative fimbrial protein YcbV
105	207	101	87	b0944	CDS	ycbF		putative fimbrial chaperone YcbF
608	1658	617	364	b0945	CDS	pyrD	1.3.5.2	dihydroorotate dehydrogenase, type 2
581	845	115	91	b0946	CDS	zapC		cell division protein ZapC
580	1398	976	753	b0947	CDS	ycbX		6-N-hydroxylaminopurine resistance protein
792	1904	1777	1371	b0948	CDS	rlmL	2.1.1.173	fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase
1013	2355	1898	1658	b0949	CDS	uup		ATP-binding protein Uup
392	846	760	683	b0950	CDS	pqiA		intermembrane transport protein PqiA
535	1425	1023	935	b0951	CDS	pqiB		intermembrane transport protein PqiB
213	525	417	344	b0952	CDS	pqiC		intermembrane transport lipoprotein PqiC
6153	7288	2020	1707	b0953	CDS	rmf		ribosome modulation factor
2491	5615	3558	3143	b0954	CDS	fabA	4.2.1.59	beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase
1225	2661	2576	2157	b0955	CDS	ycbZ		putative ATP-dependent protease YcbZ
201	430	117	119	b0956	CDS	matP		macrodomain Ter protein
73536	177894	167696	150880	b0957	CDS	ompA		outer membrane protein A
436	950	7196	7172	b0958	CDS	sulA		cell division inhibitor SulA
136	287	97	111	b0959	CDS	sxy		transcriptional coactivator for CRP
399	864	575	483	b0960	CDS	yccS		putative transporter YccS
146	281	158	123	b0961	CDS	yccF		PF03733 family inner membrane protein YccF
580	1087	812	608	b0962	CDS	helD		DNA helicase IV
484	1035	624	527	b0963	CDS	mgsA	4.2.3.3	methylglyoxal synthase
116	337	147	120	b0964	CDS	yccT		DUF2057 domain-containing protein YccT
621	935	905	873	b0965	CDS	yccU		putative HspQ acetyl donor
538	946	773	777	b0966	CDS	hspQ		heat shock protein HspQ
366	701	666	491	b0967	CDS	rlmI	2.1.1.191	23S rRNA m(5)C1962 methyltransferase
136	287	128	127	b0968	CDS	yccX	3.6.1.7	acylphosphatase
178	389	194	180	b0969	CDS	tusE		sulfur transfer protein TusE
2818	5968	3291	2996	b0970	CDS	yccA		modulator of FtsH protease
103	45	21	31	b0971	tRNA	serT		tRNA-Ser
39	79	48	34	b0972	CDS	hyaA	1.12.5.1	hydrogenase 1 small subunit
43	109	52	36	b0973	CDS	hyaB	1.12.5.1	hydrogenase 1 large subunit
18	26	19	16	b0974	CDS	hyaC	1.12.5.1	hydrogenase 1 cytochrome b subunit
12	43	23	15	b0975	CDS	hyaD		putative hydrogenase 1 maturation protease HyaD
6	14	8	4	b0976	CDS	hyaE		putative HyaA chaperone
26	65	24	27	b0977	CDS	hyaF		protein HyaF
108	189	118	91	b0978	CDS	appC	7.1.1.7	cytochrome bd-II ubiquinol oxidase subunit I
65	135	64	67	b0979	CDS	appB	7.1.1.7	cytochrome bd-II ubiquinol oxidase subunit II
2	6	15	6	b4592	CDS	appX		small protein AppX
98	201	132	97	b0980	CDS	appA	3.1.3.62	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
222	371	234	169	b0981	CDS	etk		protein-tyrosine kinase Etk
15	18	17	18	b0982	CDS	etp	3.1.3.48	phosphotyrosine-protein phosphatase Etp
30	43	35	23	b0983	CDS	gfcE		putative exopolysaccharide export lipoprotein GfcE
71	127	83	57	b0984	CDS	gfcD		putative lipoprotein GfcD
6	21	11	8	b0985	CDS	gfcC		capsule biosynthesis GfcC family protein
15	28	11	14	b0986	CDS	gfcB		lipoprotein GfcB
33	75	96	79	b0987	CDS	gfcA		threonine-rich inner membrane protein GfcA
65.9777	51.9871	105.431	55.2209	b4516	CDS	insA4		IS1 protein InsA
1247.46	1850.02	1249.56	1238.25	b0988	CDS	insB4		IS1 protein InsB
259.258	211.481	99.4023	162.798	b0989	CDS	cspH		CspA family protein CspH
8951.27	6948.02	6775	8990.81	b0990	CDS	cspG		cold shock protein CspG
1131	1723	1042	976	b4723	CDS	ymcF		protein YmcF
102	57	44	43	b0991	CDS	ymcE		protein YmcE
35	125	50	48	b4517	CDS	gnsA		putative phosphatidylethanolamine synthesis regulator GnsA
23	62	59	36	b0992	CDS	yccM		putative electron transport protein YccM
87	177	93	72	b0993	CDS	torS	2.7.13.3	sensory histidine kinase TorS
20	28	16	21	b0994	CDS	torT		periplasmic trimethylamine-N-oxide binding protein
28	79	33	27	b0995	CDS	torR		DNA-binding transcriptional dual regulator TorR
12	19	5	6	b0996	CDS	torC		cytochrome c menaquinol dehydrogenase TorC
28	46	34	26	b0997	CDS	torA		trimethylamine N-oxide reductase 1
74	169	111	86	b0998	CDS	torD		trimethylamine-N-oxide reductase-specific chaperone
233	371	228	230	b0999	CDS	cbpM		chaperone modulator CbpM
1469	3373	1481	1373	b1000	CDS	cbpA		curved DNA-binding protein
43	18	15	19	b1001	CDS	yccE		uncharacterized protein YccE
601	1397	889	814	b1002	CDS	agp	3.1.3.10	glucose-1-phosphatase
1170	3133	1797	1612	b1003	CDS	yccJ		PF13993 family protein YccJ
2517	6525	3615	3066	b1004	CDS	wrbA	1.6.5.2	NAD(P)H:quinone oxidoreductase
178	438	165	146	b4518	CDS	ymdF		stress-induced bacterial acidophilic repeat motifs-containing protein YmdF
47	106	52	67	b1006	CDS	rutG		pyrimidine:H(+) symporter
3	7	9	2	b1007	CDS	rutF	1.5.1.42	FMN reductase RutF
4	9	4	5	b1008	CDS	rutE	1.1.1.298	putative malonic semialdehyde reductase
4	12	3	5	b1009	CDS	rutD		putative aminoacrylate hydrolase RutD
4	9	4	3	b1010	CDS	rutC		putative aminoacrylate peracid reductase RutC
3	14	9	3	b1011	CDS	rutB		peroxyureidoacrylate/ureidoacrylate amidohydrolase
4	3	4	6	b1012	CDS	rutA	1.14.99.46	pyrimidine monooxygenase RutA
77	180	104	78	b1013	CDS	rutR		DNA-binding transcriptional dual regulator RutR
412	761	330	300	b1014	CDS	putA	1.2.1.88	fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA
0	0	0	0	b4737	CDS	ymdG		protein YmdG
650	1045	725	589	b1015	CDS	putP		proline:Na(+) symporter
629	1512	937	800	b1018	CDS	efeO		ferrous iron transport system protein EfeO
340	913	592	455	b1019	CDS	efeB	4.99.1.1	heme-containing peroxidase/deferrochelatase
425	1103	667	580	b1020	CDS	phoH		ATP-binding protein PhoH
18	39	21	9	b1021	CDS	pgaD		poly-N-acetyl-D-glucosamine synthase subunit PgaD
12	48	19	19	b1022	CDS	pgaC		poly-N-acetyl-D-glucosamine synthase subunit PgaC
40	69	23	30	b1023	CDS	pgaB		poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
112	209	90	105	b1024	CDS	pgaA		partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine outer membrane porin
192	201	42	57	b1025	CDS	dgcT	2.7.7.65	putative diguanylate cyclase DgcT
62.2	134.6	88.2	70.4	b1026	CDS	insF4		IS3 element protein InsF
28.2	77.2	42.6	35.6	b1027	CDS	insE4		IS3 element protein InsE
8	8	1	2	b1029	CDS	ycdU		uncharacterized protein YcdU
7.5	4	6.5	6.5	b1032	tRNA	serX		tRNA-Ser
465	1079	664	549	b1033	CDS	ghrA	1.1.1.79	glyoxylate/hydroxypyruvate reductase A
529	1340	943	679	b1034	CDS	ycdX		zinc-binding phosphatase YcdX
391	872	631	555	b1035	CDS	ycdY		chaperone protein YcdY
221	385	292	291	b1036	CDS	ycdZ		inner membrane protein YcdZ
298	705	214	193	b1037	CDS	csgG		curli secretion channel
90	233	71	52	b1038	CDS	csgF		curli assembly component CsgF
103	347	81	45	b1039	CDS	csgE		curli assembly component CsgE
486	769	174	167	b1040	CDS	csgD		DNA-binding transcriptional dual regulator CsgD
9	22	7	8	b1041	CDS	csgB		curlin, minor subunit
77	134	64	39	b1042	CDS	csgA		curlin, major subunit
24	32	15	20	b1043	CDS	csgC		curlin chaperone
32	63	41	37	b1044	CDS	ymdA		uncharacterized protein YmdA
259	505	351	376	b1045	CDS	ymdB	3.1.1.106	2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
445	971	659	613	b1046	CDS	clsC		cardiolipin synthase C
253	439	239	170	b1047	CDS	opgC		protein required for succinyl modification of osmoregulated periplasmic glucans
1816	3637	2674	2167	b1048	CDS	opgG		osmoregulated periplasmic glucans (OPGs) biosynthesis protein G
2149	4590	4148	3432	b1049	CDS	opgH		osmoregulated periplasmic glucans (OPGs) biosynthesis protein H
444	768	546	461	b1050	CDS	yceK		DUF1375 domain-containing lipoprotein YceK
931	1805	864	763	b1051	CDS	msyB		acidic protein MsyB
128	243	148	139	b1053	CDS	mdtG		efflux pump MdtG
237	383	225	186	b1054	CDS	lpxL	2.3.1.241	lauroyl acyltransferase
478	1116	580	336	b1055	CDS	trhO		tRNA U34 hydroxylase TrhO
325	890	410	286	b1056	CDS	yceI		protein YceI
19	80	28	33	b1057	CDS	yceJ		putative cytochrome b561 YceJ
3	3	1	4	b1058	CDS	yceO		DUF2770 domain-containing protein YceO
457	1259	712	577	b1059	CDS	solA	1.5.3.2	N-methyl-L-tryptophan oxidase
814	1274	519	568	b1060	CDS	bssS		regulator of biofilm formation
141	236	442	464	b1061	CDS	dinI		DNA damage-inducible protein I
1197	2574	1367	950	b1062	CDS	pyrC	3.5.2.3	dihydroorotase
525	1047	568	480	b1063	CDS	yceB		putative lipid-binding lipoprotein YceB
1236	2881	1707	1576	b1064	CDS	grxB		reduced glutaredoxin 2
56	171	111	61	b1065	CDS	mdtH		multidrug efflux pump MdtH
342	708	343	287	b1066	CDS	rimJ	2.3.1.267	ribosomal-protein-S5-alanine N-acetyltransferase
228	589	262	265	b1067	CDS	yceH		DUF480 domain-containing protein YceH
218	571	348	266	b1068	CDS	yceM		putative oxidoreductase YceM
363	640	403	343	b1069	CDS	murJ		lipid II flippase MurJ
207	383	691	675	b1070	CDS	flgN		flagellar biosynthesis protein FlgN
180	461	745	703	b1071	CDS	flgM		anti-sigma factor for FliA (sigma(28))
56	149	130	108	b1072	CDS	flgA		flagellar basal body P-ring formation protein FlgA
76	236	209	190	b1073	CDS	flgB		flagellar basal-body rod protein FlgB
75	200	336	278	b1074	CDS	flgC		flagellar basal-body rod protein FlgC
204	627	1174	1019	b1075	CDS	flgD		flagellar biosynthesis, initiation of hook assembly
583	1445	3092	2944	b1076	CDS	flgE		flagellar hook protein FlgE
204	483	1247	1206	b1077	CDS	flgF		flagellar basal-body rod protein FlgF
316	723	1574	1528	b1078	CDS	flgG		flagellar basal-body rod protein FlgG
85	170	496	459	b1079	CDS	flgH		flagellar L-ring protein
83	205	598	533	b1080	CDS	flgI		flagellar P-ring protein
92	225	487	480	b1081	CDS	flgJ		putative peptidoglycan hydrolase FlgJ
516	950	4042	3926	b1082	CDS	flgK		flagellar hook-filament junction protein 1
341	873	2499	2359	b1083	CDS	flgL		flagellar hook-filament junction protein 2
3698	8398	7474	6506	b1084	CDS	rne	3.1.26.12	ribonuclease E
808	1363	727	709	b1085	CDS	yceQ		DUF2655 domain-containing protein YceQ
419	882	609	452	b1086	CDS	rluC	5.4.99.24	23S rRNA pseudouridine(955/2504/2580) synthase
640	1450	706	564	b1087	CDS	yceF		m(7)GTP pyrophosphatase
9383	25575	13092	11200	b1088	CDS	yceD		DUF177 domain-containing protein YceD
3001	6438	4696	3970	b1089	CDS	rpmF		50S ribosomal subunit protein L32
1899	4799	3049	2562	b1090	CDS	plsX	2.3.1.274	putative phosphate acyltransferase
1926	4724	3919	3167	b1091	CDS	fabH	2.3.1.180	3-oxoacyl-[acyl carrier protein] synthase 3
2183	5761	4461	3728	b1092	CDS	fabD	2.3.1.39	[acyl-carrier-protein] S-malonyltransferase
6304	15183	10667	9149	b1093	CDS	fabG	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
10558	13602	7502	7344	b1094	CDS	acpP		acyl carrier protein
5170	11842	7786	6713	b1095	CDS	fabF	2.3.1.179	3-oxoacyl-[acyl carrier protein] synthase 2
185	331	249	174	b1096	CDS	pabC	4.1.3.38	aminodeoxychorismate lyase
244	390	327	256	b1097	CDS	mltG		endolytic murein transglycosylase
208	411	446	352	b1098	CDS	tmk	2.7.4.9	hypothetical protein
270	539	629	458	b1099	CDS	holB		DNA polymerase III subunit delta'
1196	2444	1678	1573	b1100	CDS	ycfH		putative metal-dependent hydrolase YcfH
5385	13934	9762	7409	b1101	CDS	ptsG	2.7.1.199	glucose-specific PTS enzyme IIBC component
428	955	533	538	b1102	CDS	fhuE		ferric coprogen/ferric rhodotorulic acid outer membrane transporter
487	1287	862	747	b1103	CDS	hinT		purine nucleoside phosphoramidase
313	810	497	440	b1104	CDS	ycfL		DUF1425 domain-containing protein YcfL
406	1279	1026	966	b1105	CDS	lpoB		outer membrane lipoprotein - activator of MrcB activity
234	509	408	296	b1106	CDS	thiK	2.7.1.89	thiamine kinase
560	1586	1033	928	b1107	CDS	nagZ	3.2.1.52	beta-N-acetylhexosaminidase
947	2325	1481	1266	b1108	CDS	ycfP		UPF0227 protein YcfP
1833	3184	3177	2860	b1109	CDS	ndh	1.6.5.9	NADH:quinone oxidoreductase II
382	754	405	356	b1110	CDS	ycfJ		PF05433 family protein YcfJ
111	228	240	196	b1111	CDS	comR		DNA-binding transcriptional repressor ComR
171	282	123	115	b1112	CDS	bhsA		DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
357	834	724	702	b1113	CDS	ldtC		L,D-transpeptidase LdtC
1219	3091	2461	2011	b1114	CDS	mfd		transcription-repair coupling factor
22	41	21	25	b1115	CDS	ycfT		inner membrane protein YcfT
666	1797	1283	1049	b1116	CDS	lolC		lipoprotein release complex - inner membrane subunit
279	724	643	624	b1117	CDS	lolD		lipoprotein release complex - ATP binding subunit
764	1527	1340	1197	b1118	CDS	lolE		lipoprotein release complex - inner membrane subunit
568	1073	997	957	b1119	CDS	nagK	2.7.1.59	N-acetyl-D-glucosamine kinase
308.544	784.991	591.157	509.704	b1120	CDS	cobB	2.3.1.286	protein-lysine deacetylase/desuccinylase/lipoamidase
116.456	0.00930243	46.8426	7.29614	b1120	CDS	cobB		CobB-S
26	94	46	37	b1121	CDS	ycfZ		putative inner membrane protein
27	35	33	21	b1122	CDS	ymfA		putative inner membrane protein YmfA
1435	3077	1970	1677	b1123	CDS	potD	7.6.2.11	spermidine preferential ABC transporter periplasmic binding protein
355	679	641	478	b1124	CDS	potC	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotC
445	1198	910	705	b1125	CDS	potB	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotB
858	2072	1423	1096	b1126	CDS	potA	7.6.2.11	spermidine preferential ABC transporter ATP binding subunit
1020	2186	996	913	b1127	CDS	pepT	3.4.11.4	peptidase T
1333	3289	1983	1561	b1128	CDS	roxA	1.14.11.47	ribosomal protein-arginine oxygenase
849	1796	1150	1025	b1129	CDS	phoQ	2.7.13.3	sensor histidine kinase PhoQ
1152	2100	1132	1096	b1130	CDS	phoP		DNA-binding transcriptional dual regulator PhoP
2217	5164	4600	3212	b1131	CDS	purB	4.3.2.2	adenylosuccinate lyase
363	553	987	749	b1132	CDS	hflD		lysogenization regulator
1191	2502	2436	1768	b1133	CDS	mnmA	2.8.1.13	tRNA-specific 2-thiouridylase
116	285	309	216	b1134	CDS	nudJ	3.6.1.42	phosphatase NudJ
194	350	317	212	b1135	CDS	rluE	5.4.99.20	23S rRNA pseudouridine(2457) synthase
12843	34882	25003	22427	b1136	CDS	icd	1.1.1.42	isocitrate dehydrogenase
56	76	27	29	b1137	CDS	ymfD		e14 prophage; putative SAM-dependent methyltransferase YmfD
32	32	9	8	b1138	CDS	ymfE		e14 prophage; uncharacterized protein YmfE
214	312	86	144	b1139	CDS	lit		e14 prophage; cell death peptidase Lit
63	121	53	39	b1140	CDS	intE		e14 prophage; putative integrase
11	11	8	9	b1141	CDS	xisE		e14 prophage; putative excisionase
23	25	15	17	b1142	CDS	ymfH		e14 prophage; putative protein YmfH
